raw_daily,raw_weekly,prefecture,date,symptoms_harmonized_daily
47,44,Aichi,2018.10.04,24.410078
76,44,Aichi,2018.10.05,39.471619
21,44,Aichi,2018.10.06,10.906631
31,40,Aichi,2018.10.07,16.422617
62,40,Aichi,2018.10.08,32.845234
38,40,Aichi,2018.10.09,20.130951
60,40,Aichi,2018.10.10,31.785713
53,40,Aichi,2018.10.11,28.077379
45,40,Aichi,2018.10.12,23.839285
47,40,Aichi,2018.10.13,24.898808
43,51,Aichi,2018.10.14,22.179205
65,51,Aichi,2018.10.15,33.526703
70,51,Aichi,2018.10.16,36.105682
71,51,Aichi,2018.10.17,36.621475
70,51,Aichi,2018.10.18,36.105682
68,51,Aichi,2018.10.19,35.074089
53,51,Aichi,2018.10.20,27.337158
63,49,Aichi,2018.10.21,33.021996
68,49,Aichi,2018.10.22,35.642788
56,49,Aichi,2018.10.23,29.352886
26,49,Aichi,2018.10.24,13.628126
63,49,Aichi,2018.10.25,33.021996
100,49,Aichi,2018.10.26,52.415867
40,49,Aichi,2018.10.27,20.966347
77,57,Aichi,2018.10.28,40.187344
81,57,Aichi,2018.10.29,42.274998
75,57,Aichi,2018.10.30,39.143517
39,57,Aichi,2018.10.31,20.354628
81,57,Aichi,2018.11.01,42.274998
60,57,Aichi,2018.11.02,31.314814
73,57,Aichi,2018.11.03,38.099689
76,47,Aichi,2018.11.04,39.442677
51,47,Aichi,2018.11.05,26.468113
62,47,Aichi,2018.11.06,32.176922
36,47,Aichi,2018.11.07,18.683374
58,47,Aichi,2018.11.08,30.100992
61,47,Aichi,2018.11.09,31.65794
59,47,Aichi,2018.11.10,30.619974
89,52,Aichi,2018.11.11,45.06477
65,52,Aichi,2018.11.12,32.912472
90,52,Aichi,2018.11.13,45.571114
53,52,Aichi,2018.11.14,26.836325
48,52,Aichi,2018.11.15,24.304596
50,52,Aichi,2018.11.16,25.317286
62,52,Aichi,2018.11.17,31.393435
29,42,Aichi,2018.11.18,14.768664
79,42,Aichi,2018.11.19,40.23188
45,42,Aichi,2018.11.20,22.916893
67,42,Aichi,2018.11.21,34.120708
60,42,Aichi,2018.11.22,30.555857
