date,鼻水_trend,prefecture
2019-08-17,12.696449309721622,Hokkaido
2019-08-18,18.067467873134543,Hokkaido
2019-08-19,5.899581346329647,Hokkaido
2019-08-20,0.0,Hokkaido
2019-08-21,12.167886526804898,Hokkaido
2019-08-22,0.0,Hokkaido
2019-08-23,5.899581346329647,Hokkaido
2019-08-24,6.2683051804752505,Hokkaido
2019-08-25,13.846809051614544,Hokkaido
2019-08-26,42.354945334350376,Hokkaido
2019-08-27,0.0,Hokkaido
2019-08-28,0.0,Hokkaido
2019-08-29,13.846809051614544,Hokkaido
2019-08-30,13.032290872107808,Hokkaido
2019-08-31,39.09687261632342,Hokkaido
2019-09-01,11.80735655564031,Hokkaido
2019-09-02,11.80735655564031,Hokkaido
2019-09-03,35.42206966692093,Hokkaido
2019-09-04,11.80735655564031,Hokkaido
2019-09-05,11.80735655564031,Hokkaido
2019-09-06,0.0,Hokkaido
2019-09-07,11.112806170014409,Hokkaido
2019-09-08,18.320297824379246,Hokkaido
2019-09-09,18.320297824379246,Hokkaido
2019-09-10,19.46531643840295,Hokkaido
2019-09-11,37.7856142627822,Hokkaido
2019-09-12,0.0,Hokkaido
2019-09-13,59.54096792923256,Hokkaido
2019-09-14,0.0,Hokkaido
2019-09-15,32.68472402945414,Hokkaido
2019-09-16,0.0,Hokkaido
2019-09-17,17.363759640647515,Hokkaido
2019-09-18,17.363759640647515,Hokkaido
2019-09-19,34.72751928129503,Hokkaido
2019-09-20,36.77031453313591,Hokkaido
2019-09-21,17.363759640647515,Hokkaido
2019-09-22,41.50223205912143,Hokkaido
2019-09-23,79.23153393105,Hokkaido
2019-09-24,0.0,Hokkaido
2019-09-25,0.0,Hokkaido
2019-09-26,22.637581123157144,Hokkaido
2019-09-27,44.017518850583336,Hokkaido
2019-09-28,42.759875454852384,Hokkaido
2019-09-29,51.05934856609401,Hokkaido
2019-09-30,0.0,Hokkaido
2019-10-01,20.666879181514243,Hokkaido
2019-10-02,0.0,Hokkaido
2019-10-03,30.39246938457977,Hokkaido
2019-10-04,20.059029793822646,Hokkaido
2019-10-05,0.0,Hokkaido
2019-10-06,54.946248950496354,Hokkaido
2019-10-07,43.826174758133995,Hokkaido
2019-10-08,44.48029676944943,Hokkaido
2019-10-09,32.706100565771635,Hokkaido
2019-10-10,44.48029676944943,Hokkaido
2019-10-11,41.8638087241877,Hokkaido
2019-10-12,10.465952181046925,Hokkaido
2019-10-13,25.530297931529596,Hokkaido
2019-10-14,35.3078588414771,Hokkaido
2019-10-15,9.234363081617088,Hokkaido
2019-10-16,9.234363081617088,Hokkaido
2019-10-17,28.246287073181676,Hokkaido
2019-10-18,10.32075873827792,Hokkaido
2019-10-19,29.87588055817293,Hokkaido
2019-10-20,23.718279659913303,Hokkaido
2019-10-21,11.538622537255122,Hokkaido
2019-10-22,0.0,Hokkaido
2019-10-23,12.179657122658183,Hokkaido
2019-10-24,24.359314245316366,Hokkaido
2019-10-25,11.538622537255122,Hokkaido
2019-10-26,21.795175903704116,Hokkaido
2019-10-27,11.486646760060278,Hokkaido
