raw_daily,raw_weekly,prefecture,date,symptoms_harmonized_daily
65,51,Aichi,2018.10.19,33.93
51,51,Aichi,2018.10.20,26.622
61,50,Aichi,2018.10.21,32.359756
65,50,Aichi,2018.10.22,34.481705
57,50,Aichi,2018.10.23,30.237804
25,50,Aichi,2018.10.24,13.262195
61,50,Aichi,2018.10.25,32.359756
99,50,Aichi,2018.10.26,52.518291
42,50,Aichi,2018.10.27,22.280487
74,57,Aichi,2018.10.28,39.122173
77,57,Aichi,2018.10.29,40.70821
72,57,Aichi,2018.10.30,38.064819
37,57,Aichi,2018.10.31,19.561087
78,57,Aichi,2018.11.01,41.236885
61,57,Aichi,2018.11.02,32.249359
70,57,Aichi,2018.11.03,37.007462
76,48,Aichi,2018.11.04,40.276146
49,48,Aichi,2018.11.05,25.967514
63,48,Aichi,2018.11.06,33.386803
35,48,Aichi,2018.11.07,18.548223
56,48,Aichi,2018.11.08,29.677158
59,48,Aichi,2018.11.09,31.267008
56,48,Aichi,2018.11.10,29.677158
86,52,Aichi,2018.11.11,44.4137
63,52,Aichi,2018.11.12,32.535614
86,52,Aichi,2018.11.13,44.4137
50,52,Aichi,2018.11.14,25.821917
46,52,Aichi,2018.11.15,23.756165
48,52,Aichi,2018.11.16,24.789042
59,52,Aichi,2018.11.17,30.469862
27,42,Aichi,2018.11.18,14.053846
76,42,Aichi,2018.11.19,39.558975
43,42,Aichi,2018.11.20,22.382051
64,42,Aichi,2018.11.21,33.31282
58,42,Aichi,2018.11.22,30.189743
31,42,Aichi,2018.11.23,16.135899
52,42,Aichi,2018.11.24,27.066668
41,50,Aichi,2018.11.25,21.856619
67,50,Aichi,2018.11.26,35.716911
28,50,Aichi,2018.11.27,14.926471
93,50,Aichi,2018.11.28,49.577206
74,50,Aichi,2018.11.29,39.448528
70,50,Aichi,2018.11.30,37.316177
35,50,Aichi,2018.12.01,18.658089
28,39,Aichi,2018.12.02,14.661111
56,39,Aichi,2018.12.03,29.322222
66,39,Aichi,2018.12.04,34.558334
58,39,Aichi,2018.12.05,30.369444
42,39,Aichi,2018.12.06,21.991667
30,39,Aichi,2018.12.07,15.708334
44,39,Aichi,2018.12.08,23.038889
36,35,Aichi,2018.12.09,18.706484
52,35,Aichi,2018.12.10,27.020477
45,35,Aichi,2018.12.11,23.383106
45,35,Aichi,2018.12.12,23.383106
61,35,Aichi,2018.12.13,31.697098
43,35,Aichi,2018.12.14,22.343857
11,35,Aichi,2018.12.15,5.7158704
36,42,Aichi,2018.12.16,19.287975
70,42,Aichi,2018.12.17,37.504395
61,42,Aichi,2018.12.18,32.682404
26,42,Aichi,2018.12.19,13.930205
56,42,Aichi,2018.12.20,30.003517
49,42,Aichi,2018.12.21,26.253077
43,42,Aichi,2018.12.22,23.038414
35,41,Aichi,2018.12.23,18.359558
59,41,Aichi,2018.12.24,30.948971
72,41,Aichi,2018.12.25,37.768234
49,41,Aichi,2018.12.26,25.703381
45,41,Aichi,2018.12.27,23.605146
50,41,Aichi,2018.12.28,26.227942
30,41,Aichi,2018.12.29,15.736764
17,50,Aichi,2018.12.30,17.197676
22,50,Aichi,2018.12.31,22.255814
30,50,Aichi,2019.01.01,30.348839
48,50,Aichi,2019.01.02,48.558144
35,50,Aichi,2019.01.03,35.406979
26,50,Aichi,2019.01.04,26.302328
37,50,Aichi,2019.01.05,37.430233
