date,prefecture,raw_daily,raw_weekly,symptoms_harmonized_daily
2017.01.11,Aichi,55,45,32.243118
2017.01.12,Aichi,31,45,18.173393
2017.01.13,Aichi,55,45,32.243118
2017.01.14,Aichi,38,45,22.277061
2017.01.15,Aichi,38,33,22.351631
2017.01.16,Aichi,15,33,8.8230124
2017.01.17,Aichi,50,33,29.410042
2017.01.18,Aichi,37,33,21.763432
2017.01.19,Aichi,28,33,16.469624
2017.01.20,Aichi,37,33,21.763432
2017.01.21,Aichi,34,33,19.998829
2017.01.22,Aichi,48,41,27.397646
2017.01.23,Aichi,40,41,22.831369
2017.01.24,Aichi,59,41,33.676273
2017.01.25,Aichi,38,41,21.689802
2017.01.26,Aichi,53,41,30.251566
2017.01.27,Aichi,37,41,21.119019
2017.01.28,Aichi,31,41,17.694313
2017.01.29,Aichi,41,49,23.839386
2017.01.30,Aichi,36,49,20.932142
2017.01.31,Aichi,44,49,25.583731
2017.02.01,Aichi,59,49,34.305458
2017.02.02,Aichi,58,49,33.72401
2017.02.03,Aichi,64,49,37.2127
2017.02.04,Aichi,57,49,33.142559
2017.02.05,Aichi,26,33,15.422277
2017.02.06,Aichi,42,33,24.912909
2017.02.07,Aichi,31,33,18.3881
2017.02.08,Aichi,50,33,29.658226
2017.02.09,Aichi,35,33,20.760757
2017.02.10,Aichi,27,33,16.015442
2017.02.11,Aichi,26,33,15.422277
2017.02.12,Aichi,35,41,20.445148
2017.02.13,Aichi,46,41,26.870768
2017.02.14,Aichi,52,41,30.37565
2017.02.15,Aichi,47,41,27.454914
2017.02.16,Aichi,36,41,21.029297
2017.02.17,Aichi,45,41,26.286621
2017.02.18,Aichi,38,41,22.197592
2017.02.19,Aichi,53,41,30.754084
2017.02.20,Aichi,48,41,27.852755
2017.02.21,Aichi,52,41,30.173819
2017.02.22,Aichi,45,41,26.111958
2017.02.23,Aichi,45,41,26.111958
2017.02.24,Aichi,37,41,21.469831
2017.02.25,Aichi,21,41,12.185579
2017.02.26,Aichi,39,49,25.048798
2017.02.27,Aichi,62,49,39.821167
2017.02.28,Aichi,36,49,23.121967
2017.03.01,Aichi,30,49,19.268307
2017.03.02,Aichi,62,49,39.821167
2017.03.03,Aichi,33,49,21.195139
2017.03.04,Aichi,63,49,40.463448
2017.03.05,Aichi,43,40,24.587917
2017.03.06,Aichi,43,40,24.587917
2017.03.07,Aichi,52,40,29.734224
2017.03.08,Aichi,47,40,26.875164
2017.03.09,Aichi,43,40,24.587917
2017.03.10,Aichi,35,40,20.013422
2017.03.11,Aichi,35,40,20.013422
2017.03.12,Aichi,43,55,25.313816
2017.03.13,Aichi,34,55,20.015575
2017.03.14,Aichi,100,55,58.869343
2017.03.15,Aichi,53,55,31.200752
2017.03.16,Aichi,55,55,32.378136
2017.03.17,Aichi,27,55,15.894722
2017.03.18,Aichi,86,55,50.627632
2017.03.19,Aichi,97,73,58.459412
2017.03.20,Aichi,70,73,42.18721
2017.03.21,Aichi,86,73,51.829994
2017.03.22,Aichi,70,73,42.18721
2017.03.23,Aichi,74,73,44.597904
2017.03.24,Aichi,72,73,43.392555
2017.03.25,Aichi,47,73,28.325697
2017.03.26,Aichi,45,43,25.759684
2017.03.27,Aichi,56,43,32.056496
2017.03.28,Aichi,61,43,34.918682
2017.03.29,Aichi,32,43,18.317997
2017.03.30,Aichi,54,43,30.911621
2017.03.31,Aichi,29,43,16.600685
2017.04.01,Aichi,43,43,24.614809
2017.04.02,Aichi,43,41,26.538443
2017.04.03,Aichi,31,41,19.132366
2017.04.04,Aichi,34,41,20.983885
2017.04.05,Aichi,28,41,17.280848
2017.04.06,Aichi,48,41,29.624308
2017.04.07,Aichi,61,41,37.64756
2017.04.08,Aichi,38,41,23.452578
2017.04.09,Aichi,36,56,23.65884
2017.04.10,Aichi,29,56,19.05851
2017.04.11,Aichi,47,56,30.88793
2017.04.12,Aichi,38,56,24.973221
2017.04.13,Aichi,83,56,54.546772
2017.04.14,Aichi,61,56,40.088593
2017.04.15,Aichi,69,56,45.346115
2017.04.16,Aichi,36,47,21.975365
2017.04.17,Aichi,37,47,22.585791
2017.04.18,Aichi,51,47,31.131765
2017.04.19,Aichi,47,47,28.690058
2017.04.20,Aichi,66,47,40.288166
2017.04.21,Aichi,54,47,32.963047
2017.04.22,Aichi,37,47,22.585791
2017.04.23,Aichi,69,52,41.422436
2017.04.24,Aichi,75,52,45.024384
2017.04.25,Aichi,41,52,24.613331
2017.04.26,Aichi,52,52,31.216908
2017.04.27,Aichi,35,52,21.011381
2017.04.28,Aichi,65,52,39.021133
2017.04.29,Aichi,32,52,19.210405
2017.04.30,Aichi,40,44,24.030767
2017.05.01,Aichi,46,44,27.635382
2017.05.02,Aichi,56,44,33.643074
2017.05.03,Aichi,40,44,24.030767
2017.05.04,Aichi,30,44,18.023075
2017.05.05,Aichi,42,44,25.232306
2017.05.06,Aichi,58,44,34.844612
2017.05.07,Aichi,50,52,31.376772
2017.05.08,Aichi,83,52,52.085442
2017.05.09,Aichi,73,52,45.810085
2017.05.10,Aichi,39,52,24.473883
2017.05.11,Aichi,46,52,28.866629
2017.05.12,Aichi,33,52,20.70867
2017.05.13,Aichi,29,52,18.198526
2017.05.14,Aichi,41,51,25.894358
2017.05.15,Aichi,52,51,32.841625
2017.05.16,Aichi,53,51,33.473194
2017.05.17,Aichi,25,51,15.789243
2017.05.18,Aichi,66,51,41.683601
2017.05.19,Aichi,38,51,23.999649
2017.05.20,Aichi,69,51,43.578308
2017.05.21,Aichi,68,50,42.599991
2017.05.22,Aichi,62,50,38.841171
2017.05.23,Aichi,62,50,38.841171
2017.05.24,Aichi,34,50,21.299995
2017.05.25,Aichi,28,50,17.541174
2017.05.26,Aichi,44,50,27.564701
2017.05.27,Aichi,42,50,26.31176
2017.05.28,Aichi,47,38,28.929121
2017.05.29,Aichi,41,38,25.236042
2017.05.30,Aichi,38,38,23.389502
2017.05.31,Aichi,43,38,26.467068
2017.06.01,Aichi,9,38,5.539619
2017.06.02,Aichi,32,38,19.696423
2017.06.03,Aichi,53,38,32.622204
2017.06.04,Aichi,49,38,29.055384
2017.06.05,Aichi,66,38,39.135822
2017.06.06,Aichi,25,38,14.824175
2017.06.07,Aichi,37,38,21.939777
2017.06.08,Aichi,28,38,16.603075
2017.06.09,Aichi,46,38,27.276484
2017.06.10,Aichi,22,38,13.045274
2017.06.11,Aichi,27,37,15.9391
2017.06.12,Aichi,51,37,30.107187
2017.06.13,Aichi,37,37,21.842472
2017.06.14,Aichi,31,37,18.300447
2017.06.15,Aichi,46,37,27.155504
2017.06.16,Aichi,38,37,22.432808
2017.06.17,Aichi,37,37,21.842472
2017.06.18,Aichi,24,27,15.774172
2017.06.19,Aichi,15,27,9.8588572
2017.06.20,Aichi,23,27,15.116914
2017.06.21,Aichi,31,27,20.374969
2017.06.22,Aichi,14,27,9.2016001
2017.06.23,Aichi,25,27,16.431429
2017.06.24,Aichi,43,27,28.262056
2017.06.25,Aichi,26,24,16.208778
2017.06.26,Aichi,27,24,16.832193
2017.06.27,Aichi,24,24,14.96195
2017.06.28,Aichi,36,24,22.442924
2017.06.29,Aichi,21,24,13.091706
