date,prefecture,raw_daily,raw_weekly,pollen_harmonized_daily
2017.04.26,Aichi,26,14,10.410399
2017.04.27,Aichi,28,14,11.2112
2017.04.28,Aichi,24,14,9.6096001
2017.04.29,Aichi,27,14,10.810801
2017.04.30,Aichi,28,10,11.44
2017.05.01,Aichi,26,10,10.622857
2017.05.02,Aichi,24,10,9.8057137
2017.05.03,Aichi,16,10,6.5371428
2017.05.04,Aichi,16,10,6.5371428
2017.05.05,Aichi,17,10,6.945714
2017.05.06,Aichi,13,10,5.3114285
2017.05.07,Aichi,18,7,6.9299998
2017.05.08,Aichi,21,7,8.085
2017.05.09,Aichi,13,7,5.0050001
2017.05.10,Aichi,19,7,7.3150001
2017.05.11,Aichi,12,7,4.6199999
2017.05.12,Aichi,9,7,3.4649999
2017.05.13,Aichi,12,7,4.6199999
2017.05.14,Aichi,9,6,3.4319997
2017.05.15,Aichi,9,6,3.4319997
2017.05.16,Aichi,20,6,7.6266661
2017.05.17,Aichi,14,6,5.3386664
2017.05.18,Aichi,14,6,5.3386664
2017.05.19,Aichi,11,6,4.1946664
2017.05.20,Aichi,13,6,4.9573331
2017.05.21,Aichi,26,7,11.697079
2017.05.22,Aichi,22,7,9.8975277
2017.05.23,Aichi,15,7,6.7483144
2017.05.24,Aichi,12,7,5.3986516
2017.05.25,Aichi,5,7,2.2494383
2017.05.26,Aichi,4,7,1.7995505
2017.05.27,Aichi,5,7,2.2494383
2017.05.28,Aichi,9,5,3.7304349
2017.05.29,Aichi,13,5,5.3884058
2017.05.30,Aichi,14,5,5.8028984
2017.05.31,Aichi,9,5,3.7304349
2017.06.01,Aichi,7,5,2.9014492
2017.06.02,Aichi,3,5,1.2434782
2017.06.03,Aichi,14,5,5.8028984
2017.06.04,Aichi,8,3,3.3482926
2017.06.05,Aichi,5,3,2.0926828
2017.06.06,Aichi,7,3,2.9297559
2017.06.07,Aichi,6,3,2.5112195
2017.06.08,Aichi,5,3,2.0926828
2017.06.09,Aichi,7,3,2.9297559
2017.06.10,Aichi,3,3,1.2556098
2017.06.11,Aichi,7,3,2.6693332
2017.06.12,Aichi,7,3,2.6693332
2017.06.13,Aichi,10,3,3.813333
2017.06.14,Aichi,5,3,1.9066665
2017.06.15,Aichi,7,3,2.6693332
2017.06.16,Aichi,5,3,1.9066665
2017.06.17,Aichi,4,3,1.5253333
2017.06.18,Aichi,4,1,1.1439999
2017.06.19,Aichi,2,1,.57199997
2017.06.20,Aichi,5,1,1.4299999
2017.06.21,Aichi,2,1,.57199997
2017.06.22,Aichi,3,1,.85799992
2017.06.23,Aichi,2,1,.57199997
2017.06.24,Aichi,2,1,.57199997
2017.06.25,Aichi,3,1,.95333338
2017.06.26,Aichi,1,1,.31777778
2017.06.27,Aichi,2,1,.63555557
2017.06.28,Aichi,4,1,1.2711111
2017.06.29,Aichi,2,1,.63555557
2017.06.30,Aichi,4,1,1.2711111
2017.07.01,Aichi,2,1,.63555557
2017.07.02,Aichi,12,2,.87439489
2017.07.03,Aichi,6,2,.43719745
2017.07.04,Aichi,18,2,1.3115925
2017.07.05,Aichi,44,2,3.2061145
2017.07.06,Aichi,38,2,2.7689171
2017.07.07,Aichi,26,2,1.8945223
2017.07.08,Aichi,13,2,.94726115
2017.07.09,Aichi,0,1,0
2017.07.10,Aichi,25,1,1.5376345
2017.07.11,Aichi,13,1,.7995699
2017.07.12,Aichi,12,1,.73806453
2017.07.13,Aichi,19,1,1.1686022
2017.07.14,Aichi,12,1,.73806453
2017.07.15,Aichi,12,1,.73806453
2017.07.16,Aichi,12,1,.52396947
2017.07.17,Aichi,24,1,1.0479389
2017.07.18,Aichi,19,1,.82961839
2017.07.19,Aichi,25,1,1.091603
2017.07.20,Aichi,13,1,.56763357
2017.07.21,Aichi,19,1,.82961839
2017.07.22,Aichi,19,1,.82961839
2017.07.23,Aichi,24,1,1.4299999
2017.07.24,Aichi,18,1,1.0725
2017.07.25,Aichi,0,1,0
2017.07.26,Aichi,12,1,.71499997
2017.07.27,Aichi,24,1,1.4299999
2017.07.28,Aichi,12,1,.71499997
2017.07.29,Aichi,6,1,.35749999
2017.07.30,Aichi,6,1,.38133335
2017.07.31,Aichi,18,1,1.1440001
2017.08.01,Aichi,6,1,.38133335
2017.08.02,Aichi,17,1,1.0804445
2017.08.03,Aichi,12,1,.7626667
2017.08.04,Aichi,12,1,.7626667
2017.08.05,Aichi,19,1,1.2075555
2017.08.06,Aichi,6,1,.39448273
2017.08.07,Aichi,21,1,1.3806895
2017.08.08,Aichi,24,1,1.5779309
2017.08.09,Aichi,23,1,1.5121838
2017.08.10,Aichi,0,1,0
2017.08.11,Aichi,0,1,0
2017.08.12,Aichi,13,1,.85471261
