date,prefecture,raw_daily,raw_weekly,anxietydrug2_harmonized_daily
2017.07.28,Aichi,34,31,36.741035
2017.07.29,Aichi,18,31,19.451136
2017.07.30,Aichi,17,56,34.693878
2017.07.31,Aichi,0,56,0
2017.08.01,Aichi,0,56,0
2017.08.02,Aichi,49,56,100
2017.08.03,Aichi,0,56,0
2017.08.04,Aichi,0,56,0
2017.08.05,Aichi,0,56,0
2017.08.06,Aichi,33,19,45.699707
2017.08.07,Aichi,0,19,0
2017.08.08,Aichi,0,19,0
2017.08.09,Aichi,0,19,0
2017.08.10,Aichi,0,19,0
2017.08.11,Aichi,0,19,0
2017.08.12,Aichi,0,19,0
2017.08.13,Aichi,0,62,0
2017.08.14,Aichi,35,62,37.821651
2017.08.15,Aichi,17,62,18.370518
2017.08.16,Aichi,0,62,0
2017.08.17,Aichi,0,62,0
2017.08.18,Aichi,33,62,35.660416
2017.08.19,Aichi,53,62,57.272789
2017.08.20,Aichi,34,62,49.70845
2017.08.21,Aichi,0,62,0
2017.08.22,Aichi,0,62,0
2017.08.23,Aichi,17,62,24.854225
2017.08.24,Aichi,34,62,49.70845
2017.08.25,Aichi,0,62,0
2017.08.26,Aichi,17,62,24.854225
2017.08.27,Aichi,0,57,0
2017.08.28,Aichi,17,57,22.849854
2017.08.29,Aichi,0,57,0
2017.08.30,Aichi,34,57,45.699707
2017.08.31,Aichi,0,57,0
2017.09.01,Aichi,17,57,22.849854
2017.09.02,Aichi,34,57,45.699707
2017.09.03,Aichi,17,62,36.741035
2017.09.04,Aichi,17,62,36.741035
2017.09.05,Aichi,0,62,0
2017.09.06,Aichi,17,62,36.741035
2017.09.07,Aichi,0,62,0
2017.09.08,Aichi,18,62,38.902271
2017.09.09,Aichi,0,62,0
2017.09.10,Aichi,17,66,22.870237
2017.09.11,Aichi,34,66,45.740475
2017.09.12,Aichi,34,66,45.740475
2017.09.13,Aichi,0,66,0
2017.09.14,Aichi,0,66,0
2017.09.15,Aichi,17,66,22.870237
2017.09.16,Aichi,16,66,21.524929
2017.09.17,Aichi,15,31,13.475184
2017.09.18,Aichi,33,31,29.645403
2017.09.19,Aichi,17,31,15.271874
2017.09.20,Aichi,0,31,0
2017.09.21,Aichi,18,31,16.170221
2017.09.22,Aichi,0,31,0
2017.09.23,Aichi,0,31,0
2017.09.24,Aichi,0,58,0
2017.09.25,Aichi,17,58,19.125601
2017.09.26,Aichi,17,58,19.125601
2017.09.27,Aichi,18,58,20.250635
2017.09.28,Aichi,0,58,0
2017.09.29,Aichi,36,58,40.50127
2017.09.30,Aichi,36,58,40.50127
2017.10.01,Aichi,48,69,37.399906
2017.10.02,Aichi,16,69,12.466636
2017.10.03,Aichi,33,69,25.712439
2017.10.04,Aichi,50,69,38.958237
2017.10.05,Aichi,33,69,25.712439
2017.10.06,Aichi,0,69,0
2017.10.07,Aichi,33,69,25.712439
2017.10.08,Aichi,33,31,25.366686
2017.10.09,Aichi,0,31,0
2017.10.10,Aichi,16,31,12.299
2017.10.11,Aichi,16,31,12.299
2017.10.12,Aichi,16,31,12.299
2017.10.13,Aichi,16,31,12.299
2017.10.14,Aichi,0,31,0
2017.10.15,Aichi,16,31,12.299
2017.10.16,Aichi,16,31,12.299
2017.10.17,Aichi,0,31,0
2017.10.18,Aichi,0,31,0
2017.10.19,Aichi,33,31,25.366686
2017.10.20,Aichi,16,31,12.299
2017.10.21,Aichi,16,31,12.299
2017.10.22,Aichi,13,46,9.7185011
2017.10.23,Aichi,0,46,0
2017.10.24,Aichi,17,46,12.708809
2017.10.25,Aichi,67,46,50.087658
2017.10.26,Aichi,34,46,25.417618
2017.10.27,Aichi,17,46,12.708809
2017.10.28,Aichi,0,46,0
2017.10.29,Aichi,15,44,11.50336
2017.10.30,Aichi,17,44,13.037141
2017.10.31,Aichi,35,44,26.841175
2017.11.01,Aichi,0,44,0
2017.11.02,Aichi,0,44,0
2017.11.03,Aichi,71,44,54.449234
