date,raw_daily,raw_weekly,suicide2_harmonized_daily
2017.01.05,38,37,18.134529
2017.01.06,33,37,15.748408
2017.01.07,39,37,18.611755
2017.01.08,34,46,15.994303
2017.01.09,52,46,24.461876
2017.01.10,42,46,19.757669
2017.01.11,39,46,18.346407
2017.01.12,53,46,24.932297
2017.01.13,47,46,22.109774
2017.01.14,42,46,19.757669
2017.01.15,39,46,18.896797
2017.01.16,39,46,18.896797
2017.01.17,40,46,19.38133
2017.01.18,47,46,22.773064
2017.01.19,44,46,21.319464
2017.01.20,47,46,22.773064
2017.01.21,44,46,21.319464
2017.01.22,38,43,18.506952
2017.01.23,49,43,23.864227
2017.01.24,41,43,19.968027
2017.01.25,36,43,17.532902
2017.01.26,37,43,18.019926
2017.01.27,43,43,20.942078
2017.01.28,35,43,17.045877
2017.01.29,37,43,17.702677
2017.01.30,40,43,19.138027
2017.01.31,38,43,18.181126
2017.02.01,42,43,20.094929
2017.02.02,39,43,18.659576
2017.02.03,46,43,22.008732
2017.02.04,42,43,20.094929
2017.02.05,41,51,19.90229
2017.02.06,37,51,17.960604
2017.02.07,50,51,24.271086
2017.02.08,65,51,31.552412
2017.02.09,48,51,23.300243
2017.02.10,42,51,20.387712
2017.02.11,49,51,23.785664
2017.02.12,49,54,23.421177
2017.02.13,72,54,34.414791
2017.02.14,58,54,27.723024
2017.02.15,52,54,24.855125
2017.02.16,41,54,19.597311
2017.02.17,38,54,18.163363
2017.02.18,47,54,22.46521
2017.02.19,42,39,19.831722
2017.02.20,32,39,15.109884
2017.02.21,37,39,17.470804
2017.02.22,39,39,18.415171
2017.02.23,39,39,18.415171
2017.02.24,35,39,16.526436
2017.02.25,37,39,17.470804
2017.02.26,37,40,17.516104
2017.02.27,39,40,18.462921
2017.02.28,39,40,18.462921
2017.03.01,34,40,16.095879
2017.03.02,40,40,18.936327
2017.03.03,38,40,17.989511
2017.03.04,40,40,18.936327
2017.03.05,41,43,19.411428
2017.03.06,43,43,20.358324
2017.03.07,51,43,24.14592
2017.03.08,43,43,20.358324
2017.03.09,39,43,18.464527
2017.03.10,33,43,15.623833
2017.03.11,37,43,17.51763
2017.03.12,40,40,19.224333
2017.03.13,35,40,16.821291
2017.03.14,37,40,17.782507
2017.03.15,42,40,20.185551
2017.03.16,39,40,18.743725
2017.03.17,36,40,17.301901
2017.03.18,34,40,16.340683
2017.03.19,35,39,16.654053
2017.03.20,36,39,17.129883
2017.03.21,42,39,19.984863
2017.03.22,39,39,18.557373
2017.03.23,34,39,16.178223
2017.03.24,41,39,19.509033
2017.03.25,32,39,15.226563
2017.03.26,43,40,20.356552
2017.03.27,40,40,18.936327
2017.03.28,38,40,17.989511
2017.03.29,39,40,18.462921
2017.03.30,33,40,15.622472
2017.03.31,37,40,17.516104
2017.04.01,37,40,17.516104
2017.04.02,41,39,19.434
2017.04.03,36,39,17.064001
2017.04.04,34,39,16.115999
2017.04.05,30,39,14.22
2017.04.06,42,39,19.908001
2017.04.07,36,39,17.064001
2017.04.08,41,39,19.434
2017.04.09,37,41,17.954006
2017.04.10,39,41,18.924494
2017.04.11,37,41,17.954006
2017.04.12,40,41,19.409737
2017.04.13,45,41,21.835953
2017.04.14,37,41,17.954006
2017.04.15,32,41,15.527789
2017.04.16,37,39,17.207094
2017.04.17,39,39,18.137205
2017.04.18,41,39,19.06732
2017.04.19,38,39,17.672152
2017.04.20,39,39,18.137205
2017.04.21,39,39,18.137205
2017.04.22,32,39,14.881811
2017.04.23,34,43,16.153566
2017.04.24,47,43,22.329929
2017.04.25,45,43,21.379721
2017.04.26,38,43,18.053986
2017.04.27,37,43,17.57888
2017.04.28,39,43,18.529091
2017.04.29,46,43,21.854824
2017.04.30,43,55,20.644751
2017.05.01,42,55,20.16464
2017.05.02,43,55,20.644751
2017.05.03,35,55,16.803867
2017.05.04,39,55,18.72431
2017.05.05,100,55,48.011047
2017.05.06,60,55,28.806629
2017.05.07,72,53,34.750893
2017.05.08,60,53,28.959076
2017.05.09,45,53,21.719307
2017.05.10,48,53,23.167261
2017.05.11,42,53,20.271355
2017.05.12,42,53,20.271355
2017.05.13,38,53,18.340748
2017.05.14,42,51,19.67651
2017.05.15,44,51,20.613487
2017.05.16,40,51,18.739534
2017.05.17,55,51,25.766859
2017.05.18,49,51,22.955929
2017.05.19,65,51,30.45174
2017.05.20,49,51,22.955929
2017.05.21,50,50,24.012157
2017.05.22,56,50,26.893616
2017.05.23,52,50,24.972643
2017.05.24,42,50,20.170212
2017.05.25,40,50,19.209726
2017.05.26,45,50,21.610941
2017.05.27,44,50,21.130697
2017.05.28,39,56,18.960001
