date,prefecture,raw_daily,raw_weekly,suicide_harmonized_daily
2015.06.26,Aichi,15,40,14.656773
2015.06.27,Aichi,11,40,10.7483
2015.06.28,Aichi,18,89,16.771536
2015.06.29,Aichi,15,89,13.976279
2015.06.30,Aichi,100,89,93.175186
2015.07.01,Aichi,30,89,27.952559
2015.07.02,Aichi,31,89,28.88431
2015.07.03,Aichi,18,89,16.771536
2015.07.04,Aichi,19,89,17.703287
2015.07.05,Aichi,42,91,20.269735
2015.07.06,Aichi,44,91,21.234961
2015.07.07,Aichi,44,91,21.234961
2015.07.08,Aichi,100,91,48.261276
2015.07.09,Aichi,93,91,44.882984
2015.07.10,Aichi,71,91,34.265507
2015.07.11,Aichi,62,91,29.921989
2015.07.12,Aichi,88,75,41.78331
2015.07.13,Aichi,59,75,28.013811
2015.07.14,Aichi,70,75,33.236721
2015.07.15,Aichi,52,75,24.690136
2015.07.16,Aichi,37,75,17.567982
2015.07.17,Aichi,24,75,11.395448
2015.07.18,Aichi,52,75,24.690136
2015.07.19,Aichi,25,61,12.05232
2015.07.20,Aichi,76,61,36.639057
2015.07.21,Aichi,51,61,24.586733
2015.07.22,Aichi,53,61,25.550922
2015.07.23,Aichi,54,61,26.033014
2015.07.24,Aichi,28,61,13.498599
2015.07.25,Aichi,19,61,9.1597643
2015.07.26,Aichi,54,53,25.825996
2015.07.27,Aichi,50,53,23.91296
2015.07.28,Aichi,24,53,11.478221
2015.07.29,Aichi,26,53,12.43474
2015.07.30,Aichi,44,53,21.043406
2015.07.31,Aichi,33,53,15.782554
2015.08.01,Aichi,37,53,17.695591
2015.08.02,Aichi,31,46,15.125402
2015.08.03,Aichi,28,46,13.661654
2015.08.04,Aichi,28,46,13.661654
2015.08.05,Aichi,39,46,19.028732
2015.08.06,Aichi,36,46,17.564983
2015.08.07,Aichi,30,46,14.637486
2015.08.08,Aichi,36,46,17.564983
2015.08.09,Aichi,42,46,20.402994
2015.08.10,Aichi,29,46,14.087781
2015.08.11,Aichi,31,46,15.059353
2015.08.12,Aichi,21,46,10.201497
2015.08.13,Aichi,43,46,20.888779
2015.08.14,Aichi,44,46,21.374565
