date,raw_daily,raw_weekly,medication_harmonized_daily
2017.06.28,15,8,8.0057144
2017.06.29,8,8,4.2697144
2017.06.30,10,8,5.3371429
2017.07.01,6,8,3.202286
2017.07.02,31,6,3.3798444
2017.07.03,33,6,3.5978987
2017.07.04,29,6,3.1617897
2017.07.05,51,6,5.560389
2017.07.06,28,6,3.0527625
2017.07.07,46,6,5.0152531
2017.07.08,39,6,4.2520623
2017.07.09,46,7,4.6699996
2017.07.10,36,7,3.6547825
2017.07.11,40,7,4.0608692
2017.07.12,69,7,7.0050001
2017.07.13,34,7,3.4517393
2017.07.14,50,7,5.076087
2017.07.15,47,7,4.7715216
2017.07.16,49,7,5.3216281
2017.07.17,33,7,3.5839536
2017.07.18,38,7,4.126977
2017.07.19,43,7,4.6700001
2017.07.20,43,7,4.6700001
2017.07.21,38,7,4.126977
2017.07.22,57,7,6.1904655
2017.07.23,42,6,4.1148252
2017.07.24,46,6,4.5067134
2017.07.25,39,6,3.8209093
2017.07.26,35,6,3.4290211
2017.07.27,55,6,5.3884621
2017.07.28,33,6,3.233077
2017.07.29,36,6,3.5269933
2017.07.30,43,7,4.8139386
2017.07.31,42,7,4.7019863
2017.08.01,29,7,3.2466097
2017.08.02,55,7,6.1573634
2017.08.03,32,7,3.5824659
2017.08.04,47,7,5.2617469
2017.08.05,44,7,4.9258904
2017.08.06,68,8,7.4283047
2017.08.07,29,8,3.1679533
2017.08.08,57,8,6.2266665
2017.08.09,40,8,4.3695908
2017.08.10,39,8,4.2603512
2017.08.11,46,8,5.0250292
2017.08.12,63,8,6.8821054
2017.08.13,56,8,6.3016872
2017.08.14,66,8,7.4269881
2017.08.15,43,8,4.8387957
2017.08.16,60,8,6.7518077
2017.08.17,33,8,3.7134941
2017.08.18,45,8,5.0638556
2017.08.19,29,8,3.2633736
2017.08.20,31,8,3.4265091
2017.08.21,59,8,6.5214205
2017.08.22,38,8,4.2002373
2017.08.23,57,8,6.3003554
2017.08.24,51,8,5.6371598
2017.08.25,46,8,5.0844975
2017.08.26,56,8,6.1898227
2017.08.27,43,9,4.9514799
2017.08.28,32,9,3.6848221
2017.08.29,54,9,6.2181373
2017.08.30,68,9,7.8302469
2017.08.31,56,9,6.4484386
2017.09.01,41,9,4.7211785
2017.09.02,71,9,8.1756992
2017.09.03,65,11,7.1347227
2017.09.04,94,11,10.317906
2017.09.05,85,11,9.3300219
2017.09.06,58,11,6.3663678
2017.09.07,60,11,6.5858979
2017.09.08,55,11,6.0370731
2017.09.09,51,11,5.5980129
2017.09.10,55,9,5.8375001
2017.09.11,68,9,7.2172732
2017.09.12,77,9,8.1725006
2017.09.13,39,9,4.1393185
2017.09.14,57,9,6.0497732
2017.09.15,49,9,5.2006822
2017.09.16,51,9,5.4129543
2017.09.17,44,9,4.6117706
2017.09.18,44,9,4.6117706
2017.09.19,57,9,5.9743395
2017.09.20,74,9,7.7561603
2017.09.21,62,9,6.498404
2017.09.22,57,9,5.9743395
2017.09.23,63,9,6.6032171
2017.09.24,60,12,6.4413795
2017.09.25,100,12,10.735633
2017.09.26,73,12,7.8370118
2017.09.27,57,12,6.1193104
2017.09.28,72,12,7.7296557
2017.09.29,97,12,10.413564
2017.09.30,63,12,6.7634492
2017.10.01,64,11,6.9950633
2017.10.02,72,11,7.8694468
2017.10.03,74,11,8.0880423
2017.10.04,90,11,9.8368082
2017.10.05,55,11,6.0113826
2017.10.06,67,11,7.322957
2017.10.07,48,11,5.2462974
2017.10.08,63,11,6.9004478
2017.10.09,53,11,5.8051386
2017.10.10,76,11,8.3243494
2017.10.11,60,11,6.5718551
2017.10.12,73,11,7.9957566
2017.10.13,70,11,7.6671643
2017.10.14,74,11,8.1052885
2017.10.15,50,10,5.294785
2017.10.16,61,10,6.4596376
2017.10.17,76,10,8.0480728
2017.10.18,71,10,7.5185943
2017.10.19,64,10,6.7773247
2017.10.20,47,10,4.977098
2017.10.21,72,10,7.6244903
2017.10.22,46,10,4.78441
2017.10.23,76,10,7.9046769
2017.10.24,76,10,7.9046769
2017.10.25,48,10,4.9924273
2017.10.26,60,10,6.2405348
2017.10.27,69,10,7.1766143
2017.10.28,74,10,7.6966591
2017.10.29,36,9,4.1568131
2017.10.30,69,9,7.967226
2017.10.31,75,9,8.6600275
2017.11.01,54,9,6.2352204
2017.11.02,53,9,6.1197534
2017.11.03,35,9,4.0413465
2017.11.04,42,9,4.8496156
2017.11.05,40,9,4.3441863
2017.11.06,53,9,5.7560468
2017.11.07,66,9,7.1679072
2017.11.08,80,9,8.6883726
2017.11.09,54,9,5.8646517
2017.11.10,54,9,5.8646517
2017.11.11,40,9,4.3441863
2017.11.12,68,9,6.9538684
2017.11.13,51,9,5.2154016
2017.11.14,65,9,6.6470804
2017.11.15,72,9,7.3629198
2017.11.16,46,9,4.7040877
2017.11.17,65,9,6.6470804
2017.11.18,44,9,4.4995623
2017.11.19,48,8,4.9265938
2017.11.20,57,8,5.8503299
2017.11.21,55,8,5.6450548
2017.11.22,59,8,6.0556049
2017.11.23,52,8,5.3371429
2017.11.24,63,8,6.4661546
2017.11.25,30,8,3.0791209
2017.11.26,41,8,4.3764572
2017.11.27,58,8,6.1910858
2017.11.28,59,8,6.2978287
2017.11.29,51,8,5.4438858
2017.11.30,51,8,5.4438858
2017.12.01,29,8,3.0955429
2017.12.02,61,8,6.5113149
2017.12.03,26,8,2.9796319
2017.12.04,46,8,5.2716565
