date,raw_daily,raw_weekly,anxietydrug1_harmonized_daily
2016.10.11,23,38,16.975302
2016.10.12,59,38,43.545338
2016.10.13,59,38,43.545338
2016.10.14,0,38,0
2016.10.15,37,38,27.308094
2016.10.16,48,58,33.093464
2016.10.17,58,58,39.987934
2016.10.18,70,58,48.261303
2016.10.19,35,58,24.130651
2016.10.20,58,58,39.987934
2016.10.21,35,58,24.130651
2016.10.22,62,58,42.745724
2016.10.23,61,64,52.261341
2016.10.24,49,64,41.980419
2016.10.25,47,64,40.266937
2016.10.26,59,64,50.547852
2016.10.27,36,64,30.842758
2016.10.28,48,64,41.123676
2016.10.29,25,64,21.418583
2016.10.30,13,37,10.158555
2016.10.31,24,37,18.754255
2016.11.01,12,37,9.3771276
2016.11.02,49,37,38.28994
2016.11.03,36,37,28.131382
2016.11.04,48,37,37.508511
2016.11.05,24,37,18.754255
2016.11.06,24,38,19.642536
2016.11.07,48,38,39.285072
2016.11.08,35,38,28.645367
2016.11.09,47,38,38.466633
2016.11.10,12,38,9.8212681
2016.11.11,24,38,19.642536
2016.11.12,12,38,9.8212681
2016.11.13,47,69,37.424816
2016.11.14,11,69,8.7589998
2016.11.15,81,69,64.498085
2016.11.16,83,69,66.090637
2016.11.17,83,69,66.090637
2016.11.18,24,69,19.110546
2016.11.19,48,69,38.221092
2016.11.20,23,37,17.630489
2016.11.21,11,37,8.4319725
2016.11.22,35,37,26.829004
2016.11.23,70,37,53.658009
2016.11.24,35,37,26.829004
2016.11.25,12,37,9.1985159
2016.11.26,24,37,18.397032
2016.11.27,12,33,8.7900877
2016.11.28,23,33,16.847668
2016.11.29,34,33,24.905249
2016.11.30,23,33,16.847668
2016.12.01,23,33,16.847668
2016.12.02,46,33,33.695335
2016.12.03,35,33,25.637754
2016.12.04,44,48,35.070885
2016.12.05,50,48,39.853279
2016.12.06,66,48,52.606327
2016.12.07,0,48,0
2016.12.08,11,48,8.7677212
2016.12.09,45,48,35.86795
2016.12.10,46,48,36.665016
2016.12.11,56,48,41.033489
2016.12.12,33,48,24.18045
2016.12.13,0,48,0
2016.12.14,44,48,32.240601
2016.12.15,46,48,33.706081
2016.12.16,35,48,25.645933
2016.12.17,71,48,52.024605
2016.12.18,23,48,18.473526
2016.12.19,23,48,18.473526
2016.12.20,11,48,8.835165
2016.12.21,92,48,73.894104
2016.12.22,33,48,26.505495
2016.12.23,55,48,44.175827
2016.12.24,23,48,18.473526
2016.12.25,11,31,8.1069479
2016.12.26,22,31,16.213896
2016.12.27,33,31,24.320841
2016.12.28,23,31,16.95089
2016.12.29,59,31,43.482719
2016.12.30,12,31,8.8439426
2016.12.31,23,31,16.95089
2017.01.01,32,45,28.348122
2017.01.02,40,45,35.43515
2017.01.03,20,45,17.717575
2017.01.04,9,45,7.9729095
2017.01.05,55,45,48.723331
2017.01.06,65,45,57.582123
2017.01.07,0,45,0
2017.01.08,56,50,56.137409
2017.01.09,9,50,9.0220842
2017.01.10,9,50,9.0220842
2017.01.11,38,50,38.093243
2017.01.12,38,50,38.093243
2017.01.13,48,50,48.117783
2017.01.14,19,50,19.046621
2017.01.15,58,59,51.694176
2017.01.16,19,59,16.934299
2017.01.17,58,59,51.694176
2017.01.18,19,59,16.934299
2017.01.19,48,59,42.781387
2017.01.20,28,59,24.955809
2017.01.21,58,59,51.694176
2017.01.22,47,76,42.576767
2017.01.23,19,76,17.211884
2017.01.24,67,76,60.694542
2017.01.25,68,76,61.60043
2017.01.26,67,76,60.694542
2017.01.27,39,76,35.329659
2017.01.28,58,76,52.541542
2017.01.29,9,34,8.3206167
2017.01.30,28,34,25.886362
2017.01.31,38,34,35.131493
2017.02.01,0,34,0
2017.02.02,28,34,25.886362
2017.02.03,28,34,25.886362
2017.02.04,29,34,26.810875
2017.02.05,28,42,23.797041
2017.02.06,37,42,31.446089
2017.02.07,19,42,16.147991
2017.02.08,37,42,31.446089
2017.02.09,18,42,15.298098
2017.02.10,38,42,32.295982
2017.02.11,38,42,32.295982
2017.02.12,28,45,26.610767
2017.02.13,47,45,44.668072
2017.02.14,19,45,18.057306
2017.02.15,29,45,27.561152
