date,prefecture,raw_daily,raw_weekly,depression2_harmonized_daily
2016.11.30,Aichi,46,69,30.755817
2016.12.01,Aichi,67,69,44.796513
2016.12.02,Aichi,45,69,30.087212
2016.12.03,Aichi,66,69,44.127911
2016.12.04,Aichi,46,68,32.314053
2016.12.05,Aichi,67,68,47.06612
2016.12.06,Aichi,46,68,32.314053
2016.12.07,Aichi,63,68,44.256203
2016.12.08,Aichi,53,68,37.231411
2016.12.09,Aichi,49,68,34.421494
2016.12.10,Aichi,39,68,27.396696
2016.12.11,Aichi,43,64,29.826593
2016.12.12,Aichi,54,64,37.456654
2016.12.13,Aichi,61,64,42.312145
2016.12.14,Aichi,66,64,45.78035
2016.12.15,Aichi,65,64,45.086712
2016.12.16,Aichi,34,64,23.583818
2016.12.17,Aichi,23,64,15.953759
2016.12.18,Aichi,75,83,50.527603
2016.12.19,Aichi,64,83,43.116886
2016.12.20,Aichi,75,83,50.527603
2016.12.21,Aichi,70,83,47.159096
2016.12.22,Aichi,65,83,43.790588
2016.12.23,Aichi,62,83,41.769482
2016.12.24,Aichi,51,83,34.358765
2016.12.25,Aichi,50,55,34.260799
2016.12.26,Aichi,45,55,30.834719
2016.12.27,Aichi,42,55,28.779072
2016.12.28,Aichi,58,55,39.742531
2016.12.29,Aichi,44,55,30.149504
2016.12.30,Aichi,34,55,23.297344
2016.12.31,Aichi,28,55,19.186047
2017.01.01,Aichi,45,62,26.026121
2017.01.02,Aichi,39,62,22.555971
2017.01.03,Aichi,66,62,38.171642
2017.01.04,Aichi,63,62,36.436569
2017.01.05,Aichi,63,62,36.436569
2017.01.06,Aichi,73,62,42.22015
2017.01.07,Aichi,53,62,30.652987
2017.01.08,Aichi,53,78,30.637354
2017.01.09,Aichi,89,78,51.447632
2017.01.10,Aichi,87,78,50.291504
2017.01.11,Aichi,69,78,39.886364
2017.01.12,Aichi,81,78,46.823124
2017.01.13,Aichi,65,78,37.574112
2017.01.14,Aichi,62,78,35.839924
2017.01.15,Aichi,41,74,23.802303
2017.01.16,Aichi,78,74,45.282429
2017.01.17,Aichi,70,74,40.638077
2017.01.18,Aichi,98,74,56.893311
2017.01.19,Aichi,63,74,36.574272
2017.01.20,Aichi,62,74,35.993725
2017.01.21,Aichi,66,74,38.315903
2017.01.22,Aichi,67,84,39.820755
2017.01.23,Aichi,88,84,52.301884
2017.01.24,Aichi,79,84,46.952831
2017.01.25,Aichi,81,84,48.141506
2017.01.26,Aichi,61,84,36.254719
2017.01.27,Aichi,70,84,41.603771
2017.01.28,Aichi,84,84,49.924526
2017.01.29,Aichi,57,63,34.091774
2017.01.30,Aichi,86,63,51.43671
2017.01.31,Aichi,60,63,35.886078
2017.02.01,Aichi,50,63,29.905066
2017.02.02,Aichi,53,63,31.699368
2017.02.03,Aichi,59,63,35.287979
2017.02.04,Aichi,30,63,17.943039
2017.02.05,Aichi,44,59,26.169357
2017.02.06,Aichi,71,59,42.227825
2017.02.07,Aichi,82,59,48.770164
2017.02.08,Aichi,39,59,23.195566
2017.02.09,Aichi,39,59,23.195566
2017.02.10,Aichi,50,59,29.737906
2017.02.11,Aichi,47,59,27.95363
2017.02.12,Aichi,86,74,52.106987
2017.02.13,Aichi,74,74,44.836246
2017.02.14,Aichi,44,74,26.659389
2017.02.15,Aichi,48,74,29.08297
2017.02.16,Aichi,58,74,35.141922
2017.02.17,Aichi,49,74,29.688866
2017.02.18,Aichi,99,74,59.983627
2017.02.19,Aichi,83,71,49.884312
2017.02.20,Aichi,64,71,38.465012
2017.02.21,Aichi,50,71,30.050791
2017.02.22,Aichi,46,71,27.646729
2017.02.23,Aichi,67,71,40.268063
2017.02.24,Aichi,72,71,43.273136
2017.02.25,Aichi,61,71,36.661964
2017.02.26,Aichi,70,65,41.514599
2017.02.27,Aichi,84,65,49.81752
2017.02.28,Aichi,89,65,52.782848
2017.03.01,Aichi,42,65,24.90876
2017.03.02,Aichi,40,65,23.722628
2017.03.03,Aichi,40,65,23.722628
2017.03.04,Aichi,46,65,27.281023
2017.03.05,Aichi,73,62,43.631104
2017.03.06,Aichi,64,62,38.251926
2017.03.07,Aichi,59,62,35.263496
2017.03.08,Aichi,48,62,28.688946
2017.03.09,Aichi,64,62,38.251926
2017.03.10,Aichi,45,62,26.895887
2017.03.11,Aichi,36,62,21.516708
2017.03.12,Aichi,38,58,23.216293
2017.03.13,Aichi,45,58,27.492979
2017.03.14,Aichi,69,58,42.155899
2017.03.15,Aichi,60,58,36.657303
2017.03.16,Aichi,65,58,39.712078
2017.03.17,Aichi,31,58,18.939608
2017.03.18,Aichi,48,58,29.325842
2017.03.19,Aichi,78,69,46.396557
2017.03.20,Aichi,63,69,37.474144
2017.03.21,Aichi,52,69,30.931038
2017.03.22,Aichi,60,69,35.689663
2017.03.23,Aichi,70,69,41.637936
2017.03.24,Aichi,64,69,38.06897
2017.03.25,Aichi,48,69,28.551727
2017.03.26,Aichi,71,68,41.716595
2017.03.27,Aichi,83,68,48.767284
2017.03.28,Aichi,59,68,34.665901
2017.03.29,Aichi,59,68,34.665901
2017.03.30,Aichi,46,68,27.027653
2017.03.31,Aichi,67,68,39.366364
2017.04.01,Aichi,49,68,28.790325
2017.04.02,Aichi,66,70,40.290703
2017.04.03,Aichi,78,70,47.616287
2017.04.04,Aichi,54,70,32.965122
2017.04.05,Aichi,54,70,32.965122
2017.04.06,Aichi,52,70,31.74419
2017.04.07,Aichi,47,70,28.691864
2017.04.08,Aichi,79,70,48.226749
2017.04.09,Aichi,85,70,49.693764
2017.04.10,Aichi,83,70,48.524498
2017.04.11,Aichi,46,70,26.893097
2017.04.12,Aichi,65,70,38.001114
2017.04.13,Aichi,47,70,27.477728
2017.04.14,Aichi,53,70,30.985523
2017.04.15,Aichi,70,70,40.924274
2017.04.16,Aichi,64,80,38.476955
2017.04.17,Aichi,77,80,46.292587
2017.04.18,Aichi,68,80,40.881763
2017.04.19,Aichi,70,80,42.084171
2017.04.20,Aichi,67,80,40.28056
2017.04.21,Aichi,71,80,42.685375
2017.04.22,Aichi,82,80,49.298599
2017.04.23,Aichi,73,82,43.842777
2017.04.24,Aichi,85,82,51.049809
2017.04.25,Aichi,86,82,51.650394
2017.04.26,Aichi,78,82,46.845707
2017.04.27,Aichi,62,82,37.236332
2017.04.28,Aichi,57,82,34.233398
2017.04.29,Aichi,71,82,42.641605
2017.04.30,Aichi,36,57,21.140112
2017.05.01,Aichi,63,57,36.995193
2017.05.02,Aichi,81,57,47.56525
2017.05.03,Aichi,42,57,24.663464
2017.05.04,Aichi,32,57,18.79121
2017.05.05,Aichi,56,57,32.884617
2017.05.06,Aichi,54,57,31.710165
2017.05.07,Aichi,66,70,38.500004
2017.05.08,Aichi,63,70,36.75
2017.05.09,Aichi,77,70,44.916668
2017.05.10,Aichi,53,70,30.916668
2017.05.11,Aichi,45,70,26.250002
2017.05.12,Aichi,82,70,47.833336
2017.05.13,Aichi,64,70,37.333336
2017.05.14,Aichi,80,80,47.151279
2017.05.15,Aichi,56,80,33.005898
2017.05.16,Aichi,82,80,48.330063
2017.05.17,Aichi,95,80,55.992146
2017.05.18,Aichi,61,80,35.95285
2017.05.19,Aichi,74,80,43.614937
2017.05.20,Aichi,61,80,35.95285
2017.05.21,Aichi,60,84,37.500004
2017.05.22,Aichi,85,84,53.125
2017.05.23,Aichi,100,84,62.500004
2017.05.24,Aichi,85,84,53.125
2017.05.25,Aichi,71,84,44.375
2017.05.26,Aichi,49,84,30.625
2017.05.27,Aichi,54,84,33.75
2017.05.28,Aichi,58,73,34.21875
2017.05.29,Aichi,84,73,49.558193
2017.05.30,Aichi,55,73,32.448818
2017.05.31,Aichi,66,73,38.938576
2017.06.01,Aichi,69,73,40.708511
2017.06.02,Aichi,71,73,41.888474
2017.06.03,Aichi,61,73,35.988686
2017.06.04,Aichi,54,77,32.484379
2017.06.05,Aichi,76,77,45.718754
2017.06.06,Aichi,82,77,49.328129
2017.06.07,Aichi,83,77,49.929691
2017.06.08,Aichi,57,77,34.289063
2017.06.09,Aichi,59,77,35.492188
2017.06.10,Aichi,69,77,41.507816
2017.06.11,Aichi,53,77,31.232145
2017.06.12,Aichi,94,77,55.39286
2017.06.13,Aichi,60,77,35.357143
2017.06.14,Aichi,99,77,58.339291
2017.06.15,Aichi,54,77,31.82143
2017.06.16,Aichi,83,77,48.910717
2017.06.17,Aichi,47,77,27.69643
2017.06.18,Aichi,47,66,26.989561
2017.06.19,Aichi,76,66,43.642693
2017.06.20,Aichi,42,66,24.11833
2017.06.21,Aichi,80,66,45.939678
2017.06.22,Aichi,55,66,31.583529
2017.06.23,Aichi,63,66,36.177498
2017.06.24,Aichi,68,66,39.048725
2017.06.25,Aichi,99,80,59.519039
2017.06.26,Aichi,98,80,58.917839
2017.06.27,Aichi,74,80,44.488979
2017.06.28,Aichi,53,80,31.863729
2017.06.29,Aichi,68,80,40.881763
2017.06.30,Aichi,72,80,43.286575
2017.07.01,Aichi,35,80,21.042086
2017.07.02,Aichi,64,66,40.305347
2017.07.03,Aichi,63,66,39.675571
2017.07.04,Aichi,53,66,33.377865
2017.07.05,Aichi,32,66,20.152674
2017.07.06,Aichi,64,66,40.305347
2017.07.07,Aichi,67,66,42.19466
2017.07.08,Aichi,50,66,31.48855
2017.07.09,Aichi,62,77,38.335117
2017.07.10,Aichi,80,77,49.464668
2017.07.11,Aichi,100,77,61.830833
2017.07.12,Aichi,37,77,22.877409
2017.07.13,Aichi,66,77,40.80835
2017.07.14,Aichi,54,77,33.388649
2017.07.15,Aichi,68,77,42.044968
2017.07.16,Aichi,48,71,29.859816
2017.07.17,Aichi,67,71,41.679325
2017.07.18,Aichi,87,71,54.120914
2017.07.19,Aichi,52,71,32.348133
2017.07.20,Aichi,58,71,36.080608
2017.07.21,Aichi,63,71,39.191006
2017.07.22,Aichi,53,71,32.970211
2017.07.23,Aichi,53,72,32.229733
2017.07.24,Aichi,66,72,40.135139
2017.07.25,Aichi,66,72,40.135139
2017.07.26,Aichi,84,72,51.081085
2017.07.27,Aichi,55,72,33.44595
2017.07.28,Aichi,65,72,39.527027
2017.07.29,Aichi,55,72,33.44595
2017.07.30,Aichi,62,65,37.222908
2017.07.31,Aichi,67,65,40.224754
2017.08.01,Aichi,55,65,33.020321
2017.08.02,Aichi,56,65,33.620693
2017.08.03,Aichi,58,65,34.82143
2017.08.04,Aichi,45,65,27.016626
2017.08.05,Aichi,63,65,37.823277
2017.08.06,Aichi,57,58,35.220177
2017.08.07,Aichi,48,58,29.659094
2017.08.08,Aichi,46,58,28.423298
2017.08.09,Aichi,64,58,39.545456
2017.08.10,Aichi,55,58,33.984375
2017.08.11,Aichi,47,58,29.041195
2017.08.12,Aichi,35,58,21.626423
2017.08.13,Aichi,56,73,34.44944
2017.08.14,Aichi,60,73,36.91011
2017.08.15,Aichi,71,73,43.676968
2017.08.16,Aichi,50,73,30.758429
2017.08.17,Aichi,50,73,30.758429
2017.08.18,Aichi,86,73,52.904499
2017.08.19,Aichi,72,73,44.292137
2017.08.20,Aichi,69,82,42.098213
2017.08.21,Aichi,89,82,54.300594
2017.08.22,Aichi,91,82,55.520836
2017.08.23,Aichi,61,82,37.217262
2017.08.24,Aichi,69,82,42.098213
2017.08.25,Aichi,77,82,46.979168
2017.08.26,Aichi,48,82,29.285715
2017.08.27,Aichi,42,62,26.109627
2017.08.28,Aichi,58,62,36.056149
2017.08.29,Aichi,55,62,34.191177
2017.08.30,Aichi,69,62,42.894386
2017.08.31,Aichi,62,62,38.542782
2017.09.01,Aichi,57,62,35.434494
2017.09.02,Aichi,31,62,19.271391
2017.09.03,Aichi,53,75,31.919168
2017.09.04,Aichi,98,75,59.020348
2017.09.05,Aichi,88,75,52.99786
2017.09.06,Aichi,81,75,48.782124
2017.09.07,Aichi,51,75,30.714668
2017.09.08,Aichi,46,75,27.703428
2017.09.09,Aichi,50,75,30.112421
2017.09.10,Aichi,58,66,36.902313
2017.09.11,Aichi,70,66,44.537273
2017.09.12,Aichi,72,66,45.809765
2017.09.13,Aichi,45,66,28.631104
2017.09.14,Aichi,43,66,27.35861
2017.09.15,Aichi,53,66,33.721081
2017.09.16,Aichi,48,66,30.539845
2017.09.17,Aichi,51,66,31.794708
2017.09.18,Aichi,44,66,27.430729
2017.09.19,Aichi,77,66,48.003777
2017.09.20,Aichi,63,66,39.275818
2017.09.21,Aichi,67,66,41.76952
2017.09.22,Aichi,66,66,41.146095
2017.09.23,Aichi,29,66,18.079344
2017.09.24,Aichi,86,68,52.338905
2017.09.25,Aichi,65,68,39.558475
2017.09.26,Aichi,78,68,47.470169
2017.09.27,Aichi,52,68,31.64678
2017.09.28,Aichi,61,68,37.124107
2017.09.29,Aichi,38,68,23.126493
2017.09.30,Aichi,39,68,23.735085
2017.10.01,Aichi,71,75,44.375
2017.10.02,Aichi,65,75,40.625
2017.10.03,Aichi,52,75,32.5
2017.10.04,Aichi,64,75,40
2017.10.05,Aichi,79,75,49.375
2017.10.06,Aichi,67,75,41.875
2017.10.07,Aichi,52,75,32.5
2017.10.08,Aichi,55,76,33.855293
2017.10.09,Aichi,61,76,37.548599
2017.10.10,Aichi,86,76,52.937366
2017.10.11,Aichi,65,76,40.010799
2017.10.12,Aichi,67,76,41.241901
2017.10.13,Aichi,64,76,39.395248
2017.10.14,Aichi,65,76,40.010799
2017.10.15,Aichi,31,66,19.277639
2017.10.16,Aichi,78,66,48.505028
2017.10.17,Aichi,65,66,40.420856
2017.10.18,Aichi,51,66,31.714825
