date,prefecture,raw_daily,raw_weekly,sleepingdrug2_harmonized_daily
2016.09.22,Aichi,0,46,0
2016.09.23,Aichi,0,46,0
2016.09.24,Aichi,0,46,0
2016.09.25,Aichi,54,75,63.291138
2016.09.26,Aichi,0,75,0
2016.09.27,Aichi,0,75,0
2016.09.28,Aichi,27,75,31.645569
2016.09.29,Aichi,0,75,0
2016.09.30,Aichi,0,75,0
2016.10.01,Aichi,0,75,0
2016.10.02,Aichi,0,53,0
2016.10.03,Aichi,24,53,10.953241
2016.10.04,Aichi,49,53,22.362869
2016.10.05,Aichi,0,53,0
2016.10.06,Aichi,0,53,0
2016.10.07,Aichi,25,53,11.409627
2016.10.08,Aichi,49,53,22.362869
2016.10.09,Aichi,49,55,14.83214
2016.10.10,Aichi,0,55,0
2016.10.11,Aichi,0,55,0
2016.10.12,Aichi,52,55,15.74023
2016.10.13,Aichi,51,55,15.437533
2016.10.14,Aichi,52,55,15.74023
2016.10.15,Aichi,26,55,7.8701148
2016.10.16,Aichi,0,28,0
2016.10.17,Aichi,0,28,0
2016.10.18,Aichi,0,28,0
2016.10.19,Aichi,25,28,8.9502621
2016.10.20,Aichi,25,28,8.9502621
2016.10.21,Aichi,49,28,17.542513
2016.10.22,Aichi,0,28,0
2016.10.23,Aichi,26,57,10.307414
2016.10.24,Aichi,79,57,31.318682
2016.10.25,Aichi,0,57,0
2016.10.26,Aichi,0,57,0
2016.10.27,Aichi,0,57,0
2016.10.28,Aichi,77,57,30.525803
2016.10.29,Aichi,0,57,0
2016.10.30,Aichi,52,70,22.476072
2016.10.31,Aichi,26,70,11.238036
2016.11.01,Aichi,26,70,11.238036
2016.11.02,Aichi,26,70,11.238036
2016.11.03,Aichi,25,70,10.805804
2016.11.04,Aichi,25,70,10.805804
2016.11.05,Aichi,25,70,10.805804
2016.11.06,Aichi,25,83,10.506329
2016.11.07,Aichi,75,83,31.518986
2016.11.08,Aichi,0,83,0
2016.11.09,Aichi,0,83,0
2016.11.10,Aichi,25,83,10.506329
2016.11.11,Aichi,25,83,10.506329
2016.11.12,Aichi,100,83,42.025314
2016.11.13,Aichi,0,47,0
2016.11.14,Aichi,24,47,9.4559479
2016.11.15,Aichi,0,47,0
2016.11.16,Aichi,51,47,20.093889
2016.11.17,Aichi,76,47,29.943834
2016.11.18,Aichi,0,47,0
2016.11.19,Aichi,0,47,0
2016.11.20,Aichi,25,34,8.6770115
2016.11.21,Aichi,24,34,8.3299313
2016.11.22,Aichi,0,34,0
2016.11.23,Aichi,25,34,8.6770115
2016.11.24,Aichi,25,34,8.6770115
2016.11.25,Aichi,0,34,0
2016.11.26,Aichi,25,34,8.6770115
2016.11.27,Aichi,47,80,19.667328
2016.11.28,Aichi,0,80,0
2016.11.29,Aichi,49,80,20.504236
2016.11.30,Aichi,98,80,41.008472
2016.12.01,Aichi,0,80,0
2016.12.02,Aichi,24,80,10.042891
2016.12.03,Aichi,24,80,10.042891
2016.12.04,Aichi,23,45,8.1882915
2016.12.05,Aichi,43,45,15.308544
2016.12.06,Aichi,0,45,0
2016.12.07,Aichi,0,45,0
2016.12.08,Aichi,0,45,0
2016.12.09,Aichi,70,45,24.920887
2016.12.10,Aichi,24,45,8.5443039
2016.12.11,Aichi,0,46,0
2016.12.12,Aichi,0,46,0
2016.12.13,Aichi,23,46,11.068103
2016.12.14,Aichi,0,46,0
2016.12.15,Aichi,49,46,23.57987
2016.12.16,Aichi,0,46,0
2016.12.17,Aichi,49,46,23.57987
2016.12.18,Aichi,0,20,0
2016.12.19,Aichi,0,20,0
2016.12.20,Aichi,0,20,0
2016.12.21,Aichi,0,20,0
2016.12.22,Aichi,0,20,0
2016.12.23,Aichi,0,20,0
2016.12.24,Aichi,24,20,25.316456
2016.12.25,Aichi,24,14,17.721519
2016.12.26,Aichi,0,14,0
2016.12.27,Aichi,0,14,0
2016.12.28,Aichi,0,14,0
2016.12.29,Aichi,0,14,0
2016.12.30,Aichi,0,14,0
2016.12.31,Aichi,0,14,0
2017.01.01,Aichi,0,6,0
2017.01.02,Aichi,0,6,0
2017.01.03,Aichi,0,6,0
2017.01.04,Aichi,19,6,7.5949373
2017.01.05,Aichi,0,6,0
2017.01.06,Aichi,0,6,0
2017.01.07,Aichi,0,6,0
2017.01.08,Aichi,0,25,0
2017.01.09,Aichi,0,25,0
2017.01.10,Aichi,40,25,16.023073
2017.01.11,Aichi,0,25,0
2017.01.12,Aichi,0,25,0
2017.01.13,Aichi,20,25,8.0115366
2017.01.14,Aichi,19,25,7.61096
2017.01.15,Aichi,19,51,7.6185231
2017.01.16,Aichi,20,51,8.0194979
2017.01.17,Aichi,21,51,8.4204731
2017.01.18,Aichi,21,51,8.4204731
2017.01.19,Aichi,20,51,8.0194979
2017.01.20,Aichi,40,51,16.038996
2017.01.21,Aichi,20,51,8.0194979
2017.01.22,Aichi,20,59,9.107749
2017.01.23,Aichi,41,59,18.670887
2017.01.24,Aichi,0,59,0
2017.01.25,Aichi,21,59,9.5631371
2017.01.26,Aichi,0,59,0
2017.01.27,Aichi,62,59,28.234022
