date,raw_daily,raw_weekly,depression1_harmonized_daily
2016.12.14,54,83,53.565365
2016.12.15,61,83,60.509022
2016.12.16,46,83,45.629753
2016.12.17,64,83,63.484875
2016.12.18,60,72,59.12849
2016.12.19,51,72,50.25922
2016.12.20,53,72,52.230171
2016.12.21,57,72,56.172066
2016.12.22,48,72,47.302795
2016.12.23,54,72,53.215641
2016.12.24,35,72,34.491623
2016.12.25,46,71,47.207668
2016.12.26,56,71,57.470207
2016.12.27,49,71,50.28643
2016.12.28,55,71,56.443954
2016.12.29,53,71,54.391445
2016.12.30,42,71,43.102654
2016.12.31,38,71,38.997639
2017.01.01,62,79,54.920368
2017.01.02,61,79,54.034554
2017.01.03,64,79,56.691994
2017.01.04,56,79,49.605492
2017.01.05,64,79,56.691994
2017.01.06,70,79,62.006866
2017.01.07,60,79,53.148746
2017.01.08,80,84,69.615219
2017.01.09,62,84,53.951797
2017.01.10,75,84,65.264267
2017.01.11,66,84,57.43256
2017.01.12,63,84,54.821991
2017.01.13,63,84,54.821991
2017.01.14,64,84,55.692177
2017.01.15,76,88,65.151489
2017.01.16,82,88,70.295036
2017.01.17,63,88,54.007156
2017.01.18,89,88,76.29583
2017.01.19,74,88,63.436981
2017.01.20,55,88,47.149109
2017.01.21,64,88,54.864414
2017.01.22,77,86,64.380554
2017.01.23,74,86,61.872219
2017.01.24,67,86,56.019444
2017.01.25,72,86,60.199997
2017.01.26,65,86,54.347218
2017.01.27,82,86,68.561111
2017.01.28,67,86,56.019444
2017.01.29,86,88,75.834763
2017.01.30,91,88,80.243759
2017.01.31,65,88,57.316975
2017.02.01,55,88,48.498978
2017.02.02,51,88,44.971779
2017.02.03,73,88,64.371376
2017.02.04,68,88,59.962376
2017.02.05,71,84,61.394115
2017.02.06,86,84,74.3647
2017.02.07,86,84,74.3647
2017.02.08,58,84,50.152939
2017.02.09,61,84,52.747059
2017.02.10,51,84,44.099998
2017.02.11,63,84,54.476471
2017.02.12,76,93,66.60231
2017.02.13,86,93,75.365768
2017.02.14,73,93,63.97327
2017.02.15,81,93,70.984039
2017.02.16,63,93,55.209808
2017.02.17,67,93,58.715191
2017.02.18,74,93,64.849617
2017.02.19,80,89,69.222221
2017.02.20,78,89,67.491669
2017.02.21,69,89,59.70417
2017.02.22,79,89,68.356941
2017.02.23,71,89,61.434723
2017.02.24,56,89,48.455559
2017.02.25,71,89,61.434723
2017.02.26,100,91,83.815788
2017.02.27,79,91,66.21447
2017.02.28,72,91,60.347366
2017.03.01,71,91,59.509205
2017.03.02,77,91,64.538155
2017.03.03,65,91,54.480259
2017.03.04,68,91,56.994736
2017.03.05,74,96,64.82235
2017.03.06,93,96,81.465919
2017.03.07,71,96,62.194408
2017.03.08,61,96,53.434635
2017.03.09,90,96,78.83799
2017.03.10,74,96,64.82235
2017.03.11,74,96,64.82235
2017.03.12,72,84,63.458672
2017.03.13,54,84,47.594006
2017.03.14,73,84,64.340042
2017.03.15,81,84,71.391006
2017.03.16,64,84,56.407707
2017.03.17,60,84,52.882229
2017.03.18,63,84,55.526337
2017.03.19,66,88,56.243481
2017.03.20,76,88,64.765221
2017.03.21,84,88,71.582611
2017.03.22,72,88,61.356522
2017.03.23,81,88,69.026093
2017.03.24,72,88,61.356522
2017.03.25,55,88,46.869568
2017.03.26,84,87,73.229446
2017.03.27,74,87,64.511658
2017.03.28,72,87,62.768101
2017.03.29,63,87,54.922089
2017.03.30,70,87,61.024548
2017.03.31,67,87,58.409206
2017.04.01,59,87,51.434971
2017.04.02,43,79,38.089931
2017.04.03,79,79,69.979179
2017.04.04,64,79,56.691994
2017.04.05,59,79,52.262932
2017.04.06,70,79,62.006866
2017.04.07,51,79,45.17643
2017.04.08,71,79,62.892677
2017.04.09,75,81,64.994537
2017.04.10,63,81,54.595409
2017.04.11,77,81,66.727722
2017.04.12,63,81,54.595409
2017.04.13,61,81,52.862225
2017.04.14,58,81,50.26244
2017.04.15,61,81,52.862225
2017.04.16,79,88,66.663017
2017.04.17,82,88,69.194519
2017.04.18,76,88,64.131508
2017.04.19,65,88,54.849319
2017.04.20,74,88,62.443836
2017.04.21,72,88,60.756165
2017.04.22,63,88,53.161644
2017.04.23,69,91,59.858166
2017.04.24,73,91,63.328201
2017.04.25,75,91,65.063225
2017.04.26,92,91,79.81089
2017.04.27,66,91,57.255638
2017.04.28,66,91,57.255638
2017.04.29,73,91,63.328201
2017.04.30,62,76,53.820045
2017.05.01,53,76,46.007462
2017.05.02,55,76,47.743584
2017.05.03,52,76,45.139393
2017.05.04,68,76,59.028435
2017.05.05,64,76,55.556175
2017.05.06,75,76,65.104889
2017.05.07,89,93,74.967278
2017.05.08,75,93,63.174679
2017.05.09,87,93,73.282623
2017.05.10,80,93,67.386322
2017.05.11,73,93,61.490013
2017.05.12,72,93,60.64769
2017.05.13,65,93,54.751381
2017.05.14,74,87,63.601212
2017.05.15,73,87,62.741737
2017.05.16,70,87,60.163307
2017.05.17,83,87,71.336494
2017.05.18,64,87,55.006454
2017.05.19,64,87,55.006454
2017.05.20,68,87,58.444359
2017.05.21,89,91,77.058449
2017.05.22,93,91,80.521751
2017.05.23,72,91,62.339424
2017.05.24,70,91,60.607769
2017.05.25,73,91,63.205246
2017.05.26,51,91,44.157089
2017.05.27,67,91,58.010292
2017.05.28,87,93,76.095772
2017.05.29,67,93,58.602489
2017.05.30,90,93,78.719757
2017.05.31,74,93,64.725136
2017.06.01,79,93,69.098457
2017.06.02,63,93,55.103832
2017.06.03,61,93,53.354507
2017.06.04,87,87,74.176193
2017.06.05,75,87,63.944996
2017.06.06,87,87,74.176193
2017.06.07,75,87,63.944996
2017.06.08,76,87,64.797592
2017.06.09,54,87,46.040394
2017.06.10,46,87,39.219597
2017.06.11,73,84,60.946857
2017.06.12,74,84,61.781742
2017.06.13,77,84,64.286407
2017.06.14,67,84,55.937523
2017.06.15,65,84,54.267746
2017.06.16,80,84,66.791069
2017.06.17,57,84,47.588638
2017.06.18,79,89,66.6381
2017.06.19,75,89,63.264019
2017.06.20,67,89,56.515862
2017.06.21,78,89,65.794586
2017.06.22,81,89,68.325142
2017.06.23,72,89,60.733459
2017.06.24,65,89,54.828819
2017.06.25,81,100,70.247787
2017.06.26,72,100,62.442478
2017.06.27,82,100,71.115044
2017.06.28,84,100,72.849556
2017.06.29,76,100,65.911507
2017.06.30,89,100,77.185837
2017.07.01,81,100,70.247787
2017.07.02,65,86,62.394077
2017.07.03,56,86,53.754894
2017.07.04,59,86,56.634624
2017.07.05,65,86,62.394077
2017.07.06,67,86,64.313889
2017.07.07,55,86,52.794991
2017.07.08,72,86,69.113441
2017.07.09,74,87,69.94722
2017.07.10,86,87,81.290016
2017.07.11,81,87,76.56385
2017.07.12,52,87,49.152103
2017.07.13,64,87,60.494896
2017.07.14,45,87,42.535473
2017.07.15,49,87,46.316402
2017.07.16,61,83,57.294918
2017.07.17,68,83,63.869743
2017.07.18,68,83,63.869743
2017.07.19,68,83,63.869743
2017.07.20,55,83,51.659355
