raw_daily,raw_weekly,prefecture,date,pollen_harmonized_daily
25,2,Aichi,2018.09.06,1.6350572
37,2,Aichi,2018.09.07,2.4198849
30,2,Aichi,2018.09.08,1.9620688
12,2,Aichi,2018.09.09,.55064511
61,2,Aichi,2018.09.10,2.7991128
58,2,Aichi,2018.09.11,2.6614516
19,2,Aichi,2018.09.12,.87185478
50,2,Aichi,2018.09.13,2.2943547
12,2,Aichi,2018.09.14,.55064511
36,2,Aichi,2018.09.15,1.6519353
6,2,Aichi,2018.09.16,.30618832
36,2,Aichi,2018.09.17,1.8371298
58,2,Aichi,2018.09.18,2.9598203
59,2,Aichi,2018.09.19,3.0108516
25,2,Aichi,2018.09.20,1.2757847
26,2,Aichi,2018.09.21,1.3268161
13,2,Aichi,2018.09.22,.66340804
52,3,Aichi,2018.09.23,2.8541479
43,3,Aichi,2018.09.24,2.3601608
59,3,Aichi,2018.09.25,3.2383602
40,3,Aichi,2018.09.26,2.1954985
47,3,Aichi,2018.09.27,2.5797105
27,3,Aichi,2018.09.28,1.4819614
43,3,Aichi,2018.09.29,2.3601608
10,4,Aichi,2018.09.30,.58659792
72,4,Aichi,2018.10.01,4.223505
73,4,Aichi,2018.10.02,4.2821651
27,4,Aichi,2018.10.03,1.5838144
78,4,Aichi,2018.10.04,4.5754638
97,4,Aichi,2018.10.05,5.6900001
31,4,Aichi,2018.10.06,1.8184536
19,3,Aichi,2018.10.07,.91618633
56,3,Aichi,2018.10.08,2.7003388
38,3,Aichi,2018.10.09,1.8323727
38,3,Aichi,2018.10.10,1.8323727
51,3,Aichi,2018.10.11,2.4592371
94,3,Aichi,2018.10.12,4.5327115
58,3,Aichi,2018.10.13,2.7967794
39,4,Aichi,2018.10.14,2.0934904
91,4,Aichi,2018.10.15,4.8848109
39,4,Aichi,2018.10.16,2.0934904
80,4,Aichi,2018.10.17,4.2943392
46,4,Aichi,2018.10.18,2.4692452
61,4,Aichi,2018.10.19,3.2744336
68,4,Aichi,2018.10.20,3.6501884
67,5,Aichi,2018.10.21,3.6727352
94,5,Aichi,2018.10.22,5.1527929
60,5,Aichi,2018.10.23,3.2890167
60,5,Aichi,2018.10.24,3.2890167
100,5,Aichi,2018.10.25,5.4816947
99,5,Aichi,2018.10.26,5.4268775
39,5,Aichi,2018.10.27,2.137861
59,3,Aichi,2018.10.28,3.1871202
46,3,Aichi,2018.10.29,2.4848733
67,3,Aichi,2018.10.30,3.619272
42,3,Aichi,2018.10.31,2.2687974
62,3,Aichi,2018.11.01,3.3491774
33,3,Aichi,2018.11.02,1.7826264
7,3,Aichi,2018.11.03,.37813291
43,2,Aichi,2018.11.04,1.9265354
55,2,Aichi,2018.11.05,2.4641731
45,2,Aichi,2018.11.06,2.0161417
26,2,Aichi,2018.11.07,1.1648818
33,2,Aichi,2018.11.08,1.4785038
26,2,Aichi,2018.11.09,1.1648818
26,2,Aichi,2018.11.10,1.1648818
26,1,Aichi,2018.11.11,.97328943
33,1,Aichi,2018.11.12,1.235329
7,1,Aichi,2018.11.13,.26203948
13,1,Aichi,2018.11.14,.48664472
40,1,Aichi,2018.11.15,1.4973683
14,1,Aichi,2018.11.16,.52407897
19,1,Aichi,2018.11.17,.71125001
32,3,Aichi,2018.11.18,2.1337497
20,3,Aichi,2018.11.19,1.3335936
40,3,Aichi,2018.11.20,2.6671872
33,3,Aichi,2018.11.21,2.2004294
60,3,Aichi,2018.11.22,4.0007811
32,3,Aichi,2018.11.23,2.1337497
39,3,Aichi,2018.11.24,2.6005075
26,2,Aichi,2018.11.25,1.3635021
52,2,Aichi,2018.11.26,2.7270043
20,2,Aichi,2018.11.27,1.0488478
26,2,Aichi,2018.11.28,1.3635021
46,2,Aichi,2018.11.29,2.4123499
27,2,Aichi,2018.11.30,1.4159446
20,2,Aichi,2018.12.01,1.0488478
0,2,Aichi,2018.12.02,0
26,2,Aichi,2018.12.03,1.8492497
20,2,Aichi,2018.12.04,1.4224999
47,2,Aichi,2018.12.05,3.3428745
39,2,Aichi,2018.12.06,2.7738748
14,2,Aichi,2018.12.07,.99574995
14,2,Aichi,2018.12.08,.99574995
27,2,Aichi,2018.12.09,1.8509638
21,2,Aichi,2018.12.10,1.4396385
28,2,Aichi,2018.12.11,1.919518
21,2,Aichi,2018.12.12,1.4396385
21,2,Aichi,2018.12.13,1.4396385
27,2,Aichi,2018.12.14,1.8509638
21,2,Aichi,2018.12.15,1.4396385
20,1,Aichi,2018.12.16,1.2106382
6,1,Aichi,2018.12.17,.36319146
6,1,Aichi,2018.12.18,.36319146
14,1,Aichi,2018.12.19,.84744674
7,1,Aichi,2018.12.20,.42372337
7,1,Aichi,2018.12.21,.42372337
34,1,Aichi,2018.12.22,2.058085
26,2,Aichi,2018.12.23,1.8726581
34,2,Aichi,2018.12.24,2.4488604
21,2,Aichi,2018.12.25,1.5125315
28,2,Aichi,2018.12.26,2.0167086
28,2,Aichi,2018.12.27,2.0167086
14,2,Aichi,2018.12.28,1.0083543
7,2,Aichi,2018.12.29,.50417715
0,2,Aichi,2018.12.30,0
1,2,Aichi,2018.12.31,1.1379999
2,2,Aichi,2019.01.01,2.2759998
2,2,Aichi,2019.01.02,2.2759998
2,2,Aichi,2019.01.03,2.2759998
1,2,Aichi,2019.01.04,1.1379999
2,2,Aichi,2019.01.05,2.2759998
1,4,Aichi,2019.01.06,1.1379999
3,4,Aichi,2019.01.07,3.4139996
2,4,Aichi,2019.01.08,2.2759998
6,4,Aichi,2019.01.09,6.8279991
4,4,Aichi,2019.01.10,4.5519996
3,4,Aichi,2019.01.11,3.4139996
1,4,Aichi,2019.01.12,1.1379999
3,4,Aichi,2019.01.13,2.6261537
5,4,Aichi,2019.01.14,4.3769231
3,4,Aichi,2019.01.15,2.6261537
4,4,Aichi,2019.01.16,3.5015383
4,4,Aichi,2019.01.17,3.5015383
3,4,Aichi,2019.01.18,2.6261537
4,4,Aichi,2019.01.19,3.5015383
3,4,Aichi,2019.01.20,2.9686952
3,4,Aichi,2019.01.21,2.9686952
1,4,Aichi,2019.01.22,.98956507
8,4,Aichi,2019.01.23,7.9165206
3,4,Aichi,2019.01.24,2.9686952
3,4,Aichi,2019.01.25,2.9686952
2,4,Aichi,2019.01.26,1.9791301
5,5,Aichi,2019.01.27,4.9051723
3,5,Aichi,2019.01.28,2.9431031
5,5,Aichi,2019.01.29,4.9051723
3,5,Aichi,2019.01.30,2.9431031
2,5,Aichi,2019.01.31,1.9620688
6,5,Aichi,2019.02.01,5.8862062
5,5,Aichi,2019.02.02,4.9051723
7,8,Aichi,2019.02.03,6.7795739
5,8,Aichi,2019.02.04,4.8425527
8,8,Aichi,2019.02.05,7.7480841
10,8,Aichi,2019.02.06,9.6851053
8,8,Aichi,2019.02.07,7.7480841
4,8,Aichi,2019.02.08,3.874042
5,8,Aichi,2019.02.09,4.8425527
5,11,Aichi,2019.02.10,4.8146148
7,11,Aichi,2019.02.11,6.7404609
14,11,Aichi,2019.02.12,13.480922
10,11,Aichi,2019.02.13,9.6292295
12,11,Aichi,2019.02.14,11.555076
8,11,Aichi,2019.02.15,7.7033839
9,11,Aichi,2019.02.16,8.6663065
13,27,Aichi,2019.02.17,12.560944
18,27,Aichi,2019.02.18,17.392076
12,27,Aichi,2019.02.19,11.594717
19,27,Aichi,2019.02.20,18.358301
25,27,Aichi,2019.02.21,24.155661
36,27,Aichi,2019.02.22,34.784153
36,27,Aichi,2019.02.23,34.784153
39,73,Aichi,2019.02.24,39.223801
63,73,Aichi,2019.02.25,63.361519
85,73,Aichi,2019.02.26,85.487762
53,73,Aichi,2019.02.27,53.304134
41,73,Aichi,2019.02.28,41.235275
55,73,Aichi,2019.03.01,55.315613
77,73,Aichi,2019.03.02,77.441856
63,100,Aichi,2019.03.03,62.999996
53,100,Aichi,2019.03.04,52.999996
100,100,Aichi,2019.03.05,100
75,100,Aichi,2019.03.06,75
93,100,Aichi,2019.03.07,93
94,100,Aichi,2019.03.08,93.999992
91,100,Aichi,2019.03.09,91
60,52,Aichi,2019.03.10,59.97567
47,52,Aichi,2019.03.11,46.980942
47,52,Aichi,2019.03.12,46.980942
42,52,Aichi,2019.03.13,41.982971
37,52,Aichi,2019.03.14,36.984997
33,52,Aichi,2019.03.15,32.986618
30,52,Aichi,2019.03.16,29.987835
29,31,Aichi,2019.03.17,29.230339
29,31,Aichi,2019.03.18,29.230339
27,31,Aichi,2019.03.19,27.214455
24,31,Aichi,2019.03.20,24.190626
19,31,Aichi,2019.03.21,19.150911
24,31,Aichi,2019.03.22,24.190626
23,31,Aichi,2019.03.23,23.182684
26,29,Aichi,2019.03.24,25.53726
32,29,Aichi,2019.03.25,31.430475
27,29,Aichi,2019.03.26,26.519463
22,29,Aichi,2019.03.27,21.608452
26,29,Aichi,2019.03.28,25.53726
18,29,Aichi,2019.03.29,17.679642
17,29,Aichi,2019.03.30,16.697439
10,22,Aichi,2019.03.31,10.260653
13,22,Aichi,2019.04.01,13.338851
17,22,Aichi,2019.04.02,17.443111
13,22,Aichi,2019.04.03,13.338851
20,22,Aichi,2019.04.04,20.521307
18,22,Aichi,2019.04.05,18.469177
31,22,Aichi,2019.04.06,31.808029
34,24,Aichi,2019.04.07,34.392883
24,24,Aichi,2019.04.08,24.27733
20,24,Aichi,2019.04.09,20.231108
17,24,Aichi,2019.04.10,17.196442
14,24,Aichi,2019.04.11,14.161777
16,24,Aichi,2019.04.12,16.184887
10,24,Aichi,2019.04.13,10.115554
12,18,Aichi,2019.04.14,12.290399
17,18,Aichi,2019.04.15,17.411398
16,18,Aichi,2019.04.16,16.387199
8,18,Aichi,2019.04.17,8.1935997
16,18,Aichi,2019.04.18,16.387199
12,18,Aichi,2019.04.19,12.290399
19,18,Aichi,2019.04.20,19.459799
12,17,Aichi,2019.04.21,11.966597
26,17,Aichi,2019.04.22,25.927628
19,17,Aichi,2019.04.23,18.947111
11,17,Aichi,2019.04.24,10.96938
