date,raw_daily,raw_weekly,symptoms_harmonized_daily
2018.01.11,46,19,5.2167897
2018.01.12,37,19,4.1961131
2018.01.13,35,19,3.9692967
2018.01.14,32,14,3.4713614
2018.01.15,29,14,3.1459212
2018.01.16,30,14,3.2544014
2018.01.17,31,14,3.3628814
2018.01.18,29,14,3.1459212
2018.01.19,37,14,4.0137615
2018.01.20,30,14,3.2544014
2018.01.21,48,17,5.2211304
2018.01.22,38,17,4.1333947
2018.01.23,44,17,4.786036
2018.01.24,40,17,4.3509417
2018.01.25,35,17,3.8070741
2018.01.26,30,17,3.2632065
2018.01.27,29,17,3.1544328
2018.01.28,35,13,3.5915005
2018.01.29,29,13,2.9758148
2018.01.30,30,13,3.078429
2018.01.31,36,13,3.6941149
2018.02.01,30,13,3.078429
2018.02.02,27,13,2.7705863
2018.02.03,27,13,2.7705863
2018.02.04,33,15,3.6196911
2018.02.05,41,15,4.4971924
2018.02.06,33,15,3.6196911
2018.02.07,32,15,3.5100036
2018.02.08,29,15,3.1809409
2018.02.09,30,15,3.2906284
2018.02.10,33,15,3.6196911
2018.02.11,26,14,2.900306
2018.02.12,35,14,3.904258
2018.02.13,26,14,2.900306
2018.02.14,37,14,4.1273584
2018.02.15,33,14,3.6811576
2018.02.16,33,14,3.6811576
2018.02.17,22,14,2.4541051
2018.02.18,40,15,4.2054505
2018.02.19,39,15,4.1003146
2018.02.20,40,15,4.2054505
2018.02.21,35,15,3.6797695
2018.02.22,33,15,3.4694967
2018.02.23,30,15,3.154088
2018.02.24,24,15,2.5232704
2018.02.25,31,12,3.141892
2018.02.26,32,12,3.2432435
2018.02.27,32,12,3.2432435
2018.02.28,27,12,2.7364867
2018.03.01,26,12,2.6351352
2018.03.02,26,12,2.6351352
2018.03.03,26,12,2.6351352
2018.03.04,30,19,3.2749586
2018.03.05,25,19,2.7291322
2018.03.06,23,19,2.5108018
2018.03.07,30,19,3.2749586
2018.03.08,25,19,2.7291322
2018.03.09,100,19,10.916529
2018.03.10,61,19,6.6590824
2018.03.11,55,22,5.8902564
2018.03.12,66,22,7.0683074
2018.03.13,51,22,5.461874
2018.03.14,41,22,4.3909183
2018.03.15,52,22,5.5689692
2018.03.16,51,22,5.461874
2018.03.17,31,22,3.3199627
2018.03.18,30,15,3.2346175
2018.03.19,29,15,3.126797
2018.03.20,32,15,3.4502587
2018.03.21,43,15,4.6362848
2018.03.22,35,15,3.7737205
2018.03.23,31,15,3.342438
2018.03.24,35,15,3.7737205
2018.03.25,31,18,3.4275186
2018.03.26,31,18,3.4275186
2018.03.27,39,18,4.3120394
2018.03.28,32,18,3.5380836
2018.03.29,31,18,3.4275186
2018.03.30,72,18,7.9606876
2018.03.31,39,18,4.3120394
2018.04.01,32,16,3.544528
2018.04.02,35,16,3.8768275
2018.04.03,33,16,3.6552947
2018.04.04,32,16,3.544528
2018.04.05,41,16,4.5414267
2018.04.06,37,16,4.0983605
2018.04.07,34,16,3.7660611
2018.04.08,32,13,3.4446213
2018.04.09,30,13,3.2293324
2018.04.10,27,13,2.9063993
2018.04.11,28,13,3.0140436
2018.04.12,27,13,2.9063993
2018.04.13,30,13,3.2293324
2018.04.14,30,13,3.2293324
2018.04.15,33,13,3.5874362
2018.04.16,28,13,3.0438855
2018.04.17,29,13,3.1525955
2018.04.18,30,13,3.2613058
2018.04.19,26,13,2.8264649
2018.04.20,28,13,3.0438855
2018.04.21,28,13,3.0438855
2018.04.22,29,13,3.1682804
2018.04.23,29,13,3.1682804
2018.04.24,28,13,3.0590291
2018.04.25,27,13,2.9497783
2018.04.26,29,13,3.1682804
2018.04.27,32,13,3.4960334
2018.04.28,27,13,2.9497783
2018.04.29,31,12,3.2899392
2018.04.30,29,12,3.0776849
2018.05.01,25,12,2.6531768
2018.05.02,30,12,3.1838121
2018.05.03,24,12,2.5470498
2018.05.04,25,12,2.6531768
2018.05.05,27,12,2.8654311
2018.05.06,33,15,3.6834743
2018.05.07,32,15,3.5718539
2018.05.08,32,15,3.5718539
2018.05.09,28,15,3.1253722
2018.05.10,30,15,3.3486133
2018.05.11,28,15,3.1253722
2018.05.12,44,15,4.9112988
2018.05.13,37,14,3.8546257
2018.05.14,32,14,3.3337305
2018.05.15,29,14,3.021193
2018.05.16,30,14,3.1253724
2018.05.17,31,14,3.2295513
2018.05.18,33,14,3.4379094
2018.05.19,35,14,3.6462677
2018.05.20,31,15,3.3711288
2018.05.21,30,15,3.2623827
2018.05.22,36,15,3.9148588
2018.05.23,32,15,3.4798748
2018.05.24,37,15,4.0236053
2018.05.25,33,15,3.5886209
2018.05.26,34,15,3.697367
2018.05.27,38,18,4.1711388
2018.05.28,55,18,6.0371742
2018.05.29,54,18,5.9274073
2018.05.30,39,18,4.2809052
2018.05.31,36,18,3.9516048
2018.06.01,28,18,3.0734706
2018.06.02,27,18,2.9637036
2018.06.03,32,16,3.3136587
2018.06.04,36,16,3.7278659
2018.06.05,37,16,3.8314178
2018.06.06,46,16,4.7633843
2018.06.07,37,16,3.8314178
2018.06.08,34,16,3.5207622
2018.06.09,39,16,4.0385213
2018.06.10,38,16,4.2439132
2018.06.11,32,16,3.5738215
2018.06.12,35,16,3.9088676
2018.06.13,32,16,3.5738215
2018.06.14,34,16,3.7971854
2018.06.15,39,16,4.3555951
2018.06.16,32,16,3.5738215
2018.06.17,29,14,3.1032164
2018.06.18,27,14,2.8892014
2018.06.19,38,14,4.0662837
2018.06.20,35,14,3.7452612
2018.06.21,33,14,3.5312462
2018.06.22,31,14,3.3172314
2018.06.23,28,14,2.9962089
2018.06.24,34,15,3.7784493
2018.06.25,30,15,3.3339257
2018.06.26,34,15,3.7784493
2018.06.27,34,15,3.7784493
2018.06.28,33,15,3.6673186
2018.06.29,33,15,3.6673186
