raw_daily,raw_weekly,prefecture,date,medication_harmonized_daily
64,4,Aichi,2018.07.13,7.5374489
0,4,Aichi,2018.07.14,0
20,2,Aichi,2018.07.15,2.0716634
0,2,Aichi,2018.07.16,0
0,2,Aichi,2018.07.17,0
42,2,Aichi,2018.07.18,4.3504934
21,2,Aichi,2018.07.19,2.1752467
0,2,Aichi,2018.07.20,0
0,2,Aichi,2018.07.21,0
0,7,Aichi,2018.07.22,0
60,7,Aichi,2018.07.23,7.6179514
40,7,Aichi,2018.07.24,5.0786347
20,7,Aichi,2018.07.25,2.5393174
20,7,Aichi,2018.07.26,2.5393174
60,7,Aichi,2018.07.27,7.6179514
37,7,Aichi,2018.07.28,4.6977367
20,4,Aichi,2018.07.29,2.4048679
0,4,Aichi,2018.07.30,0
0,4,Aichi,2018.07.31,0
62,4,Aichi,2018.08.01,7.4550905
19,4,Aichi,2018.08.02,2.2846246
21,4,Aichi,2018.08.03,2.5251112
21,4,Aichi,2018.08.04,2.5251112
0,1,Aichi,2018.08.05,0
0,1,Aichi,2018.08.06,0
0,1,Aichi,2018.08.07,0
0,1,Aichi,2018.08.08,0
0,1,Aichi,2018.08.09,0
0,1,Aichi,2018.08.10,0
0,1,Aichi,2018.08.11,0
21,5,Aichi,2018.08.12,2.7691019
0,5,Aichi,2018.08.13,0
0,5,Aichi,2018.08.14,0
39,5,Aichi,2018.08.15,5.1426177
20,5,Aichi,2018.08.16,2.6372402
19,5,Aichi,2018.08.17,2.505378
64,5,Aichi,2018.08.18,8.439168
41,5,Aichi,2018.08.19,5.5077114
20,5,Aichi,2018.08.20,2.6866884
0,5,Aichi,2018.08.21,0
0,5,Aichi,2018.08.22,0
38,5,Aichi,2018.08.23,5.1047077
20,5,Aichi,2018.08.24,2.6866884
41,5,Aichi,2018.08.25,5.5077114
21,6,Aichi,2018.08.26,2.9760239
21,6,Aichi,2018.08.27,2.9760239
61,6,Aichi,2018.08.28,8.6446419
40,6,Aichi,2018.08.29,5.6686172
0,6,Aichi,2018.08.30,0
20,6,Aichi,2018.08.31,2.8343086
19,6,Aichi,2018.09.01,2.6925933
37,7,Aichi,2018.09.02,4.5258684
18,7,Aichi,2018.09.03,2.2017739
32,7,Aichi,2018.09.04,3.9142647
0,7,Aichi,2018.09.05,0
100,7,Aichi,2018.09.06,12.232078
40,7,Aichi,2018.09.07,4.8928308
19,7,Aichi,2018.09.08,2.3240948
0,3,Aichi,2018.09.09,0
0,3,Aichi,2018.09.10,0
0,3,Aichi,2018.09.11,0
20,3,Aichi,2018.09.12,2.6052735
20,3,Aichi,2018.09.13,2.6052735
20,3,Aichi,2018.09.14,2.6052735
39,3,Aichi,2018.09.15,5.0802832
0,2,Aichi,2018.09.16,0
0,2,Aichi,2018.09.17,0
41,2,Aichi,2018.09.18,5.6853795
0,2,Aichi,2018.09.19,0
0,2,Aichi,2018.09.20,0
21,2,Aichi,2018.09.21,2.9120238
0,2,Aichi,2018.09.22,0
21,6,Aichi,2018.09.23,2.8357925
20,6,Aichi,2018.09.24,2.7007549
21,6,Aichi,2018.09.25,2.8357925
43,6,Aichi,2018.09.26,5.806623
43,6,Aichi,2018.09.27,5.806623
43,6,Aichi,2018.09.28,5.806623
0,6,Aichi,2018.09.29,0
50,5,Aichi,2018.09.30,9.2644424
0,5,Aichi,2018.10.01,0
22,5,Aichi,2018.10.02,4.0763545
44,5,Aichi,2018.10.03,8.152709
0,5,Aichi,2018.10.04,0
0,5,Aichi,2018.10.05,0
0,5,Aichi,2018.10.06,0
0,3,Aichi,2018.10.07,0
20,3,Aichi,2018.10.08,3.0705011
0,3,Aichi,2018.10.09,0
0,3,Aichi,2018.10.10,0
0,3,Aichi,2018.10.11,0
22,3,Aichi,2018.10.12,3.3775511
42,3,Aichi,2018.10.13,6.4480519
21,5,Aichi,2018.10.14,2.6395533
21,5,Aichi,2018.10.15,2.6395533
43,5,Aichi,2018.10.16,5.4047999
43,5,Aichi,2018.10.17,5.4047999
21,5,Aichi,2018.10.18,2.6395533
0,5,Aichi,2018.10.19,0
22,5,Aichi,2018.10.20,2.7652466
22,5,Aichi,2018.10.21,2.4249082
44,5,Aichi,2018.10.22,4.8498163
0,5,Aichi,2018.10.23,0
43,5,Aichi,2018.10.24,4.7395935
65,5,Aichi,2018.10.25,7.1645021
21,5,Aichi,2018.10.26,2.3146853
0,5,Aichi,2018.10.27,0
21,5,Aichi,2018.10.28,2.9891634
42,5,Aichi,2018.10.29,5.9783268
22,5,Aichi,2018.10.30,3.1315045
23,5,Aichi,2018.10.31,3.2738454
0,5,Aichi,2018.11.01,0
0,5,Aichi,2018.11.02,0
43,5,Aichi,2018.11.03,6.1206675
0,4,Aichi,2018.11.04,0
20,4,Aichi,2018.11.05,4.1433268
21,4,Aichi,2018.11.06,4.3504934
21,4,Aichi,2018.11.07,4.3504934
0,4,Aichi,2018.11.08,0
21,4,Aichi,2018.11.09,4.3504934
0,4,Aichi,2018.11.10,0
0,6,Aichi,2018.11.11,0
42,6,Aichi,2018.11.12,6.334928
0,6,Aichi,2018.11.13,0
22,6,Aichi,2018.11.14,3.3182957
43,6,Aichi,2018.11.15,6.4857597
22,6,Aichi,2018.11.16,3.3182957
42,6,Aichi,2018.11.17,6.334928
0,6,Aichi,2018.11.18,0
22,6,Aichi,2018.11.19,3.7086833
44,6,Aichi,2018.11.20,7.4173665
22,6,Aichi,2018.11.21,3.7086833
44,6,Aichi,2018.11.22,7.4173665
21,6,Aichi,2018.11.23,3.540107
0,6,Aichi,2018.11.24,0
0,4,Aichi,2018.11.25,0
21,4,Aichi,2018.11.26,2.4072728
64,4,Aichi,2018.11.27,7.3364506
0,4,Aichi,2018.11.28,0
0,4,Aichi,2018.11.29,0
22,4,Aichi,2018.11.30,2.5219047
43,4,Aichi,2018.12.01,4.9291778
0,1,Aichi,2018.12.02,0
0,1,Aichi,2018.12.03,0
0,1,Aichi,2018.12.04,0
22,1,Aichi,2018.12.05,2.1993356
21,1,Aichi,2018.12.06,2.0993657
0,1,Aichi,2018.12.07,0
0,1,Aichi,2018.12.08,0
43,5,Aichi,2018.12.09,7.0016723
0,5,Aichi,2018.12.10,0
23,5,Aichi,2018.12.11,3.7450805
0,5,Aichi,2018.12.12,0
23,5,Aichi,2018.12.13,3.7450805
43,5,Aichi,2018.12.14,7.0016723
0,5,Aichi,2018.12.15,0
0,4,Aichi,2018.12.16,0
20,4,Aichi,2018.12.17,2.6251614
21,4,Aichi,2018.12.18,2.7564192
0,4,Aichi,2018.12.19,0
45,4,Aichi,2018.12.20,5.9066133
23,4,Aichi,2018.12.21,3.0189357
22,4,Aichi,2018.12.22,2.8876777
0,1,Aichi,2018.12.23,0
0,1,Aichi,2018.12.24,0
0,1,Aichi,2018.12.25,0
23,1,Aichi,2018.12.26,2.1493506
23,1,Aichi,2018.12.27,2.1493506
0,1,Aichi,2018.12.28,0
0,1,Aichi,2018.12.29,0
3,1,Aichi,2018.12.30,2.1493506
0,1,Aichi,2018.12.31,0
0,1,Aichi,2019.01.01,0
0,1,Aichi,2019.01.02,0
0,1,Aichi,2019.01.03,0
0,1,Aichi,2019.01.04,0
3,1,Aichi,2019.01.05,2.1493506
5,8,Aichi,2019.01.06,5.210547
3,8,Aichi,2019.01.07,3.1263282
3,8,Aichi,2019.01.08,3.1263282
3,8,Aichi,2019.01.09,3.1263282
0,8,Aichi,2019.01.10,0
