date,prefecture,raw_daily,raw_weekly,medication_harmonized_daily
2016.08.15,Aichi,20,3,2.2311766
2016.08.16,Aichi,0,3,0
2016.08.17,Aichi,19,3,2.1196177
2016.08.18,Aichi,0,3,0
2016.08.19,Aichi,0,3,0
2016.08.20,Aichi,21,3,2.3427355
2016.08.21,Aichi,0,4,0
2016.08.22,Aichi,0,4,0
2016.08.23,Aichi,0,4,0
2016.08.24,Aichi,0,4,0
2016.08.25,Aichi,35,4,9.9210176
2016.08.26,Aichi,18,4,5.1022377
2016.08.27,Aichi,0,4,0
2016.08.28,Aichi,36,5,6.1458769
2016.08.29,Aichi,0,5,0
2016.08.30,Aichi,0,5,0
2016.08.31,Aichi,0,5,0
2016.09.01,Aichi,37,5,6.316596
2016.09.02,Aichi,19,5,3.2436574
2016.09.03,Aichi,18,5,3.0729384
2016.09.04,Aichi,35,7,4.2998805
2016.09.05,Aichi,54,7,6.6341009
2016.09.06,Aichi,35,7,4.2998805
2016.09.07,Aichi,53,7,6.5112472
2016.09.08,Aichi,18,7,2.2113669
2016.09.09,Aichi,19,7,2.3342206
2016.09.10,Aichi,0,7,0
2016.09.11,Aichi,0,5,0
2016.09.12,Aichi,18,5,2.3637989
2016.09.13,Aichi,89,5,11.687673
2016.09.14,Aichi,18,5,2.3637989
2016.09.15,Aichi,0,5,0
2016.09.16,Aichi,0,5,0
2016.09.17,Aichi,18,5,2.3637989
2016.09.18,Aichi,0,7,0
2016.09.19,Aichi,0,7,0
2016.09.20,Aichi,32,7,5.924664
2016.09.21,Aichi,0,7,0
2016.09.22,Aichi,0,7,0
2016.09.23,Aichi,92,7,17.033409
2016.09.24,Aichi,18,7,3.3326235
2016.09.25,Aichi,18,5,2.6408067
2016.09.26,Aichi,0,5,0
2016.09.27,Aichi,19,5,2.787518
2016.09.28,Aichi,18,5,2.6408067
2016.09.29,Aichi,55,5,8.0691309
2016.09.30,Aichi,18,5,2.6408067
2016.10.01,Aichi,0,5,0
2016.10.02,Aichi,0,4,0
2016.10.03,Aichi,55,4,15.023255
2016.10.04,Aichi,0,4,0
2016.10.05,Aichi,0,4,0
2016.10.06,Aichi,0,4,0
2016.10.07,Aichi,0,4,0
2016.10.08,Aichi,0,4,0
2016.10.09,Aichi,0,7,0
2016.10.10,Aichi,0,7,0
2016.10.11,Aichi,19,7,5.1497245
2016.10.12,Aichi,39,7,10.570487
2016.10.13,Aichi,19,7,5.1497245
2016.10.14,Aichi,20,7,5.4207625
2016.10.15,Aichi,0,7,0
2016.10.16,Aichi,19,4,5.0077515
2016.10.17,Aichi,0,4,0
2016.10.18,Aichi,19,4,5.0077515
2016.10.19,Aichi,0,4,0
2016.10.20,Aichi,0,4,0
2016.10.21,Aichi,19,4,5.0077515
2016.10.22,Aichi,0,4,0
2016.10.23,Aichi,19,7,3.1615396
2016.10.24,Aichi,100,7,16.639681
2016.10.25,Aichi,0,7,0
2016.10.26,Aichi,20,7,3.3279362
2016.10.27,Aichi,0,7,0
2016.10.28,Aichi,0,7,0
2016.10.29,Aichi,19,7,3.1615396
2016.10.30,Aichi,20,6,7.7706499
2016.10.31,Aichi,0,6,0
2016.11.01,Aichi,0,6,0
2016.11.02,Aichi,0,6,0
2016.11.03,Aichi,19,6,7.3821173
2016.11.04,Aichi,19,6,7.3821173
2016.11.05,Aichi,0,6,0
2016.11.06,Aichi,0,8,0
2016.11.07,Aichi,0,8,0
2016.11.08,Aichi,37,8,14.822946
2016.11.09,Aichi,19,8,7.6117826
2016.11.10,Aichi,0,8,0
2016.11.11,Aichi,19,8,7.6117826
2016.11.12,Aichi,0,8,0
2016.11.13,Aichi,18,3,3.6875265
2016.11.14,Aichi,18,3,3.6875265
2016.11.15,Aichi,19,3,3.8923888
2016.11.16,Aichi,0,3,0
2016.11.17,Aichi,0,3,0
2016.11.18,Aichi,0,3,0
2016.11.19,Aichi,0,3,0
2016.11.20,Aichi,37,7,12.970077
2016.11.21,Aichi,0,7,0
2016.11.22,Aichi,0,7,0
2016.11.23,Aichi,0,7,0
2016.11.24,Aichi,19,7,6.6603098
2016.11.25,Aichi,19,7,6.6603098
2016.11.26,Aichi,0,7,0
2016.11.27,Aichi,0,4,0
2016.11.28,Aichi,0,4,0
2016.11.29,Aichi,0,4,0
2016.11.30,Aichi,19,4,5.0971761
2016.12.01,Aichi,18,4,4.8289037
2016.12.02,Aichi,19,4,5.0971761
2016.12.03,Aichi,0,4,0
2016.12.04,Aichi,0,2,0
2016.12.05,Aichi,16,2,2.3112702
2016.12.06,Aichi,0,2,0
2016.12.07,Aichi,0,2,0
2016.12.08,Aichi,0,2,0
2016.12.09,Aichi,18,2,2.600179
2016.12.10,Aichi,18,2,2.600179
2016.12.11,Aichi,0,4,0
2016.12.12,Aichi,0,4,0
2016.12.13,Aichi,0,4,0
2016.12.14,Aichi,18,4,4.9167018
2016.12.15,Aichi,18,4,4.9167018
2016.12.16,Aichi,19,4,5.1898518
2016.12.17,Aichi,0,4,0
2016.12.18,Aichi,18,5,3.7980139
2016.12.19,Aichi,0,5,0
2016.12.20,Aichi,0,5,0
2016.12.21,Aichi,36,5,7.5960279
2016.12.22,Aichi,0,5,0
2016.12.23,Aichi,35,5,7.3850269
2016.12.24,Aichi,0,5,0
2016.12.25,Aichi,18,6,11.267442
2016.12.26,Aichi,0,6,0
2016.12.27,Aichi,18,6,11.267442
2016.12.28,Aichi,0,6,0
2016.12.29,Aichi,0,6,0
2016.12.30,Aichi,0,6,0
2016.12.31,Aichi,0,6,0
2017.01.01,Aichi,5,7,2.6827242
2017.01.02,Aichi,10,7,5.3654485
2017.01.03,Aichi,10,7,5.3654485
2017.01.04,Aichi,14,7,7.5116277
2017.01.05,Aichi,5,7,2.6827242
2017.01.06,Aichi,0,7,0
2017.01.07,Aichi,5,7,2.6827242
2017.01.08,Aichi,14,8,7.9368143
2017.01.09,Aichi,9,8,5.1022377
2017.01.10,Aichi,5,8,2.8345766
2017.01.11,Aichi,5,8,2.8345766
2017.01.12,Aichi,15,8,8.5037298
2017.01.13,Aichi,5,8,2.8345766
2017.01.14,Aichi,0,8,0
2017.01.15,Aichi,5,6,2.0486257
2017.01.16,Aichi,0,6,0
2017.01.17,Aichi,10,6,4.0972514
2017.01.18,Aichi,5,6,2.0486257
2017.01.19,Aichi,15,6,6.1458769
2017.01.20,Aichi,10,6,4.0972514
2017.01.21,Aichi,10,6,4.0972514
2017.01.22,Aichi,10,9,5.2003574
2017.01.23,Aichi,5,9,2.6001787
2017.01.24,Aichi,10,9,5.2003574
2017.01.25,Aichi,5,9,2.6001787
2017.01.26,Aichi,15,9,7.8005366
2017.01.27,Aichi,10,9,5.2003574
2017.01.28,Aichi,10,9,5.2003574
2017.01.29,Aichi,10,14,4.076077
2017.01.30,Aichi,10,14,4.076077
2017.01.31,Aichi,20,14,8.152154
2017.02.01,Aichi,15,14,6.1141152
2017.02.02,Aichi,25,14,10.190193
2017.02.03,Aichi,15,14,6.1141152
2017.02.04,Aichi,34,14,13.858663
2017.02.05,Aichi,14,17,5.9592247
2017.02.06,Aichi,44,17,18.728991
2017.02.07,Aichi,25,17,10.641473
2017.02.08,Aichi,14,17,5.9592247
2017.02.09,Aichi,24,17,10.215814
2017.02.10,Aichi,20,17,8.5131779
2017.02.11,Aichi,9,17,3.8309302
2017.02.12,Aichi,5,17,2.5539532
2017.02.13,Aichi,20,17,10.215813
2017.02.14,Aichi,10,17,5.1079063
2017.02.15,Aichi,25,17,12.769767
2017.02.16,Aichi,24,17,12.258976
2017.02.17,Aichi,27,17,13.791348
2017.02.18,Aichi,14,17,7.1510692
2017.02.19,Aichi,19,31,9.2559605
2017.02.20,Aichi,29,31,14.127517
2017.02.21,Aichi,25,31,12.178895
2017.02.22,Aichi,39,31,18.999075
2017.02.23,Aichi,53,31,25.819256
2017.02.24,Aichi,40,31,19.486231
2017.02.25,Aichi,34,31,16.563295
