date,raw_daily,raw_weekly,sleepingdrug2_harmonized_daily
2016.09.28,66,33,11.423823
2016.09.29,33,33,5.7119117
2016.09.30,84,33,14.539411
2016.10.01,67,33,11.596911
2016.10.02,24,27,4.5615788
2016.10.03,46,27,8.7430258
2016.10.04,61,27,11.594013
2016.10.05,46,27,8.7430258
2016.10.06,32,27,6.0821052
2016.10.07,71,27,13.494671
2016.10.08,24,27,4.5615788
2016.10.09,16,26,2.7058966
2016.10.10,40,26,6.7647414
2016.10.11,24,26,4.058845
2016.10.12,65,26,10.992705
2016.10.13,49,26,8.286808
2016.10.14,92,26,15.558905
2016.10.15,43,26,7.2720966
2016.10.16,25,22,4.6706347
2016.10.17,40,22,7.4730158
2016.10.18,16,22,2.9892063
2016.10.19,41,22,7.6598411
2016.10.20,48,22,8.967618
2016.10.21,40,22,7.4730158
2016.10.22,42,22,7.8466663
2016.10.23,25,29,4.2741046
2016.10.24,42,29,7.1804957
2016.10.25,81,29,13.848099
2016.10.26,74,29,12.651349
2016.10.27,74,29,12.651349
2016.10.28,41,29,7.0095315
2016.10.29,26,29,4.4450688
2016.10.30,35,23,6.0234265
2016.10.31,75,23,12.907342
2016.11.01,50,23,8.6048956
2016.11.02,51,23,8.7769928
2016.11.03,33,23,5.6792307
2016.11.04,25,23,4.3024478
2016.11.05,17,23,2.9256642
2016.11.06,58,27,10.24844
2016.11.07,41,27,7.2445869
2016.11.08,64,27,11.308623
2016.11.09,40,27,7.0678897
2016.11.10,25,27,4.4174309
2016.11.11,49,27,8.658165
2016.11.12,50,27,8.8348618
2016.11.13,41,34,7.1027617
2016.11.14,70,34,12.126667
2016.11.15,72,34,12.473143
2016.11.16,66,34,11.433715
2016.11.17,73,34,12.64638
2016.11.18,49,34,8.4886665
2016.11.19,49,34,8.4886665
2016.11.20,73,29,12.797684
2016.11.21,54,29,9.4667797
2016.11.22,48,29,8.4149151
2016.11.23,32,29,5.6099434
2016.11.24,49,29,8.5902262
2016.11.25,82,29,14.37548
2016.11.26,16,29,2.8049717
2016.11.27,72,29,12.55146
2016.11.28,39,29,6.7987075
2016.11.29,47,29,8.1933146
2016.11.30,64,29,11.156854
2016.12.01,78,29,13.597415
2016.12.02,16,29,2.7892134
2016.12.03,40,29,6.9730334
2016.12.04,23,23,3.8769174
2016.12.05,42,23,7.0795884
2016.12.06,90,23,15.170547
2016.12.07,68,23,11.462191
2016.12.08,54,23,9.1023283
2016.12.09,15,23,2.5284245
2016.12.10,0,23,0
2016.12.11,15,28,2.7655385
2016.12.12,75,28,13.827692
2016.12.13,30,28,5.5310769
2016.12.14,68,28,12.537107
2016.12.15,32,28,5.8998151
2016.12.16,72,28,13.274585
2016.12.17,33,28,6.0841846
2016.12.18,16,23,2.8846886
2016.12.19,31,23,5.5890841
2016.12.20,100,23,18.029305
2016.12.21,55,23,9.9161167
2016.12.22,15,23,2.7043955
2016.12.23,0,23,0
2016.12.24,56,23,10.096411
2016.12.25,31,19,4.8109164
2016.12.26,8,19,1.2415267
2016.12.27,61,19,9.4666414
2016.12.28,40,19,6.207634
2016.12.29,73,19,11.328932
2016.12.30,25,19,3.8797712
2016.12.31,24,19,3.7245803
2017.01.01,4,20,4.1756096
