date,prefecture,raw_daily,raw_weekly,medications2_harmonized_daily
2016.09.19,Aichi,25,7,5.7739615
2016.09.20,Aichi,24,7,5.5430031
2016.09.21,Aichi,0,7,0
2016.09.22,Aichi,0,7,0
2016.09.23,Aichi,69,7,15.936134
2016.09.24,Aichi,13,7,3.00246
2016.09.25,Aichi,27,5,5.3045459
2016.09.26,Aichi,0,5,0
2016.09.27,Aichi,14,5,2.7505052
2016.09.28,Aichi,14,5,2.7505052
2016.09.29,Aichi,41,5,8.0550508
2016.09.30,Aichi,14,5,2.7505052
2016.10.01,Aichi,0,5,0
2016.10.02,Aichi,0,4,0
2016.10.03,Aichi,26,4,4.8334532
2016.10.04,Aichi,13,4,2.4167266
2016.10.05,Aichi,0,4,0
2016.10.06,Aichi,14,4,2.6026287
2016.10.07,Aichi,13,4,2.4167266
2016.10.08,Aichi,27,4,5.0193548
2016.10.09,Aichi,0,6,0
2016.10.10,Aichi,0,6,0
2016.10.11,Aichi,13,6,3.0372374
2016.10.12,Aichi,56,6,13.083485
2016.10.13,Aichi,14,6,3.2708712
2016.10.14,Aichi,14,6,3.2708712
2016.10.15,Aichi,14,6,3.2708712
2016.10.16,Aichi,14,3,2.6696079
2016.10.17,Aichi,13,3,2.4789217
2016.10.18,Aichi,14,3,2.6696079
2016.10.19,Aichi,0,3,0
2016.10.20,Aichi,0,3,0
2016.10.21,Aichi,13,3,2.4789217
2016.10.22,Aichi,14,3,2.6696079
2016.10.23,Aichi,14,8,2.4448934
2016.10.24,Aichi,100,8,17.463524
2016.10.25,Aichi,0,8,0
2016.10.26,Aichi,42,8,7.3346801
2016.10.27,Aichi,14,8,2.4448934
2016.10.28,Aichi,14,8,2.4448934
2016.10.29,Aichi,14,8,2.4448934
2016.10.30,Aichi,14,5,3.1191297
2016.10.31,Aichi,0,5,0
2016.11.01,Aichi,0,5,0
2016.11.02,Aichi,0,5,0
2016.11.03,Aichi,41,5,9.1345949
2016.11.04,Aichi,28,5,6.2382593
2016.11.05,Aichi,14,5,3.1191297
2016.11.06,Aichi,14,7,2.5671384
2016.11.07,Aichi,0,7,0
2016.11.08,Aichi,27,7,4.9509091
2016.11.09,Aichi,69,7,12.652324
2016.11.10,Aichi,14,7,2.5671384
2016.11.11,Aichi,41,7,7.5180478
2016.11.12,Aichi,0,7,0
2016.11.13,Aichi,26,5,4.7217555
2016.11.14,Aichi,26,5,4.7217555
2016.11.15,Aichi,13,5,2.3608778
2016.11.16,Aichi,0,5,0
2016.11.17,Aichi,14,5,2.5424838
2016.11.18,Aichi,27,5,4.9033618
2016.11.19,Aichi,13,5,2.3608778
2016.11.20,Aichi,27,7,5.4099336
2016.11.21,Aichi,0,7,0
2016.11.22,Aichi,41,7,8.215085
2016.11.23,Aichi,0,7,0
2016.11.24,Aichi,55,7,11.020235
2016.11.25,Aichi,14,7,2.8051507
2016.11.26,Aichi,14,7,2.8051507
2016.11.27,Aichi,26,6,5.1470742
2016.11.28,Aichi,13,6,2.5735371
2016.11.29,Aichi,0,6,0
2016.11.30,Aichi,13,6,2.5735371
2016.12.01,Aichi,39,6,7.7206116
2016.12.02,Aichi,27,6,5.3450389
2016.12.03,Aichi,13,6,2.5735371
2016.12.04,Aichi,0,2,0
2016.12.05,Aichi,0,2,0
2016.12.06,Aichi,13,2,2.8814814
2016.12.07,Aichi,13,2,2.8814814
2016.12.08,Aichi,0,2,0
2016.12.09,Aichi,0,2,0
2016.12.10,Aichi,13,2,2.8814814
2016.12.11,Aichi,13,3,2.5933337
2016.12.12,Aichi,0,3,0
2016.12.13,Aichi,0,3,0
2016.12.14,Aichi,26,3,5.1866674
2016.12.15,Aichi,13,3,2.5933337
2016.12.16,Aichi,13,3,2.5933337
2016.12.17,Aichi,0,3,0
2016.12.18,Aichi,13,6,2.906322
2016.12.19,Aichi,26,6,5.812644
2016.12.20,Aichi,0,6,0
2016.12.21,Aichi,52,6,11.625288
2016.12.22,Aichi,0,6,0
2016.12.23,Aichi,25,6,5.5890808
2016.12.24,Aichi,0,6,0
2016.12.25,Aichi,26,7,6.6104574
2016.12.26,Aichi,0,7,0
2016.12.27,Aichi,39,7,9.9156876
2016.12.28,Aichi,41,7,10.424184
2016.12.29,Aichi,0,7,0
2016.12.30,Aichi,0,7,0
2016.12.31,Aichi,13,7,3.3052287
2017.01.01,Aichi,6,7,2.9759564
2017.01.02,Aichi,13,7,6.4479055
2017.01.03,Aichi,12,7,5.9519129
2017.01.04,Aichi,18,7,8.9278698
2017.01.05,Aichi,6,7,2.9759564
2017.01.06,Aichi,0,7,0
2017.01.07,Aichi,6,7,2.9759564
2017.01.08,Aichi,12,5,4.8024693
2017.01.09,Aichi,6,5,2.4012346
2017.01.10,Aichi,6,5,2.4012346
2017.01.11,Aichi,18,5,7.2037034
2017.01.12,Aichi,12,5,4.8024693
2017.01.13,Aichi,0,5,0
2017.01.14,Aichi,0,5,0
2017.01.15,Aichi,6,6,2.8814819
2017.01.16,Aichi,0,6,0
2017.01.17,Aichi,12,6,5.7629638
2017.01.18,Aichi,6,6,2.8814819
2017.01.19,Aichi,12,6,5.7629638
2017.01.20,Aichi,12,6,5.7629638
2017.01.21,Aichi,6,6,2.8814819
2017.01.22,Aichi,6,9,2.9175
