date,prefecture,raw_daily,raw_weekly,suicide2_harmonized_daily
2016.10.11,Aichi,47,47,13.746514
2016.10.12,Aichi,67,47,19.596096
2016.10.13,Aichi,52,47,15.208909
2016.10.14,Aichi,49,47,14.331473
2016.10.15,Aichi,53,47,15.501389
2016.10.16,Aichi,47,54,14.244001
2016.10.17,Aichi,72,54,21.820599
2016.10.18,Aichi,73,54,22.123663
2016.10.19,Aichi,84,54,25.457367
2016.10.20,Aichi,91,54,27.578812
2016.10.21,Aichi,28,54,8.4857883
2016.10.22,Aichi,33,54,10.001107
2016.10.23,Aichi,100,57,30.291491
2016.10.24,Aichi,68,57,20.598213
2016.10.25,Aichi,63,57,19.083637
2016.10.26,Aichi,75,57,22.718616
2016.10.27,Aichi,56,57,16.963234
2016.10.28,Aichi,45,57,13.63117
2016.10.29,Aichi,45,57,13.63117
2016.10.30,Aichi,53,38,15.07088
2016.10.31,Aichi,41,38,11.658606
2016.11.01,Aichi,34,38,9.6681108
2016.11.02,Aichi,57,38,16.208303
2016.11.03,Aichi,48,38,13.649098
2016.11.04,Aichi,37,38,10.52118
2016.11.05,Aichi,51,38,14.502167
2016.11.06,Aichi,37,38,10.790092
2016.11.07,Aichi,61,38,17.78907
2016.11.08,Aichi,43,38,12.539836
2016.11.09,Aichi,33,38,9.6235952
2016.11.10,Aichi,37,38,10.790092
2016.11.11,Aichi,73,38,21.288559
2016.11.12,Aichi,29,38,8.457099
2016.11.13,Aichi,67,42,19.649424
2016.11.14,Aichi,56,42,16.423399
2016.11.15,Aichi,47,42,13.783924
2016.11.16,Aichi,37,42,10.851174
2016.11.17,Aichi,48,42,14.077199
2016.11.18,Aichi,47,42,13.783924
2016.11.19,Aichi,42,42,12.317549
2016.11.20,Aichi,36,33,10.33931
2016.11.21,Aichi,32,33,9.1904974
2016.11.22,Aichi,51,33,14.647355
2016.11.23,Aichi,43,33,12.349731
2016.11.24,Aichi,44,33,12.636934
2016.11.25,Aichi,41,33,11.775326
2016.11.26,Aichi,29,33,8.3288879
2016.11.27,Aichi,41,41,12.424203
2016.11.28,Aichi,67,41,20.302965
2016.11.29,Aichi,39,41,11.818145
2016.11.30,Aichi,29,41,8.7878513
2016.12.01,Aichi,38,41,11.515115
2016.12.02,Aichi,56,41,16.969643
2016.12.03,Aichi,55,41,16.666615
2016.12.04,Aichi,44,47,13.24657
2016.12.05,Aichi,68,47,20.471972
2016.12.06,Aichi,57,47,17.160328
2016.12.07,Aichi,61,47,18.364561
2016.12.08,Aichi,42,47,12.644453
2016.12.09,Aichi,58,47,17.461386
2016.12.10,Aichi,45,47,13.547628
2016.12.11,Aichi,20,27,5.9228916
2016.12.12,Aichi,50,27,14.80723
2016.12.13,Aichi,36,27,10.661205
2016.12.14,Aichi,24,27,7.10747
2016.12.15,Aichi,25,27,7.403615
2016.12.16,Aichi,43,27,12.734218
2016.12.17,Aichi,21,27,6.2190366
2016.12.18,Aichi,24,32,7.1503234
2016.12.19,Aichi,48,32,14.300647
2016.12.20,Aichi,52,32,15.492367
2016.12.21,Aichi,31,32,9.2358341
2016.12.22,Aichi,27,32,8.0441141
2016.12.23,Aichi,30,32,8.9379044
2016.12.24,Aichi,46,32,13.704786
2016.12.25,Aichi,24,35,6.886457
2016.12.26,Aichi,35,35,10.042749
2016.12.27,Aichi,31,35,8.8950071
2016.12.28,Aichi,68,35,19.511629
2016.12.29,Aichi,66,35,18.937757
2016.12.30,Aichi,34,35,9.7558146
2016.12.31,Aichi,35,35,10.042749
2017.01.01,Aichi,23,33,10.852172
2017.01.02,Aichi,7,33,3.302835
2017.01.03,Aichi,22,33,10.380339
2017.01.04,Aichi,36,33,16.986008
2017.01.05,Aichi,25,33,11.795839
2017.01.06,Aichi,26,33,12.267673
2017.01.07,Aichi,29,33,13.683173
2017.01.08,Aichi,25,43,12.474476
2017.01.09,Aichi,35,43,17.464266
2017.01.10,Aichi,17,43,8.4826431
2017.01.11,Aichi,37,43,18.462223
2017.01.12,Aichi,42,43,20.957119
2017.01.13,Aichi,28,43,13.971413
2017.01.14,Aichi,23,43,11.476518
2017.01.15,Aichi,27,47,13.082475
2017.01.16,Aichi,28,47,13.567011
2017.01.17,Aichi,60,47,29.072165
2017.01.18,Aichi,31,47,15.020618
2017.01.19,Aichi,22,47,10.659794
2017.01.20,Aichi,30,47,14.536082
2017.01.21,Aichi,35,47,16.958763
2017.01.22,Aichi,21,39,9.9358015
2017.01.23,Aichi,26,39,12.301468
2017.01.24,Aichi,22,39,10.408935
2017.01.25,Aichi,27,39,12.774601
2017.01.26,Aichi,25,39,11.828334
2017.01.27,Aichi,49,39,23.183537
2017.01.28,Aichi,28,39,13.247734
2017.01.29,Aichi,29,40,13.526172
2017.01.30,Aichi,32,40,14.925431
2017.01.31,Aichi,16,40,7.4627156
2017.02.01,Aichi,27,40,12.593333
2017.02.02,Aichi,37,40,17.25753
2017.02.03,Aichi,33,40,15.391851
2017.02.04,Aichi,32,40,14.925431
2017.02.05,Aichi,20,49,9.4920187
2017.02.06,Aichi,28,49,13.288827
2017.02.07,Aichi,18,49,8.5428171
2017.02.08,Aichi,42,49,19.933241
2017.02.09,Aichi,30,49,14.238029
2017.02.10,Aichi,35,49,16.611032
2017.02.11,Aichi,75,49,35.595074
2017.02.12,Aichi,44,65,20.205578
2017.02.13,Aichi,100,65,45.921768
2017.02.14,Aichi,44,65,20.205578
2017.02.15,Aichi,43,65,19.746361
2017.02.16,Aichi,43,65,19.746361
2017.02.17,Aichi,24,65,11.021224
2017.02.18,Aichi,42,65,19.287142
2017.02.19,Aichi,35,39,15.994215
2017.02.20,Aichi,36,39,16.451193
2017.02.21,Aichi,26,39,11.881417
2017.02.22,Aichi,30,39,13.709328
2017.02.23,Aichi,28,39,12.795372
2017.02.24,Aichi,24,39,10.967462
2017.02.25,Aichi,26,39,11.881417
2017.02.26,Aichi,28,40,12.513066
2017.02.27,Aichi,19,40,8.4910088
2017.02.28,Aichi,26,40,11.619276
2017.03.01,Aichi,34,40,15.194438
2017.03.02,Aichi,40,40,17.875809
2017.03.03,Aichi,34,40,15.194438
2017.03.04,Aichi,34,40,15.194438
2017.03.05,Aichi,37,45,17.238934
2017.03.06,Aichi,41,45,19.102604
2017.03.07,Aichi,37,45,17.238934
2017.03.08,Aichi,36,45,16.773018
