date,prefecture,raw_daily,raw_weekly,mask_harmonized_daily
2016.09.03,Aichi,36,45,37.661541
2016.09.04,Aichi,29,43,30.557121
2016.09.05,Aichi,49,43,51.630997
2016.09.06,Aichi,27,43,28.44973
2016.09.07,Aichi,23,43,24.234957
2016.09.08,Aichi,22,43,23.181263
2016.09.09,Aichi,38,43,40.040363
2016.09.10,Aichi,34,43,35.825588
2016.09.11,Aichi,26,39,25.776449
2016.09.12,Aichi,25,39,24.785048
2016.09.13,Aichi,40,39,39.656075
2016.09.14,Aichi,8,39,7.9312153
2016.09.15,Aichi,32,39,31.724861
2016.09.16,Aichi,37,39,36.68187
2016.09.17,Aichi,46,39,45.604488
2016.09.18,Aichi,10,48,10.70164
2016.09.19,Aichi,42,48,44.946888
2016.09.20,Aichi,44,48,47.087215
2016.09.21,Aichi,41,48,43.876724
2016.09.22,Aichi,32,48,34.245247
2016.09.23,Aichi,44,48,47.087215
2016.09.24,Aichi,31,48,33.175083
2016.09.25,Aichi,40,51,41.102219
2016.09.26,Aichi,42,51,43.15733
2016.09.27,Aichi,32,51,32.881775
2016.09.28,Aichi,41,51,42.129776
2016.09.29,Aichi,26,51,26.716442
2016.09.30,Aichi,46,51,47.267551
2016.10.01,Aichi,43,51,44.184887
2016.10.02,Aichi,44,50,46.208496
2016.10.03,Aichi,47,50,49.359077
2016.10.04,Aichi,14,50,14.702703
2016.10.05,Aichi,44,50,46.208496
2016.10.06,Aichi,44,50,46.208496
2016.10.07,Aichi,32,50,33.606178
2016.10.08,Aichi,34,50,35.706566
2016.10.09,Aichi,28,54,29.375999
2016.10.10,Aichi,66,54,69.243431
2016.10.11,Aichi,46,54,48.260574
2016.10.12,Aichi,39,54,40.916573
2016.10.13,Aichi,38,54,39.867428
2016.10.14,Aichi,10,54,10.491428
2016.10.15,Aichi,53,54,55.604576
2016.10.16,Aichi,50,58,43.700832
2016.10.17,Aichi,33,58,28.842546
2016.10.18,Aichi,54,58,47.196896
2016.10.19,Aichi,53,58,46.32288
2016.10.20,Aichi,48,58,41.952797
2016.10.21,Aichi,72,58,62.929195
2016.10.22,Aichi,51,58,44.574848
2016.10.23,Aichi,56,61,50.634991
2016.10.24,Aichi,59,61,53.34758
2016.10.25,Aichi,46,61,41.593029
2016.10.26,Aichi,67,61,60.58115
2016.10.27,Aichi,43,61,38.88044
2016.10.28,Aichi,74,61,66.910522
2016.10.29,Aichi,22,61,19.892317
2016.10.30,Aichi,47,52,40.908802
2016.10.31,Aichi,35,52,30.464001
2016.11.01,Aichi,64,52,55.705601
2016.11.02,Aichi,44,52,38.2976
2016.11.03,Aichi,46,52,40.038403
2016.11.04,Aichi,48,52,41.779202
2016.11.05,Aichi,41,52,35.686401
2016.11.06,Aichi,58,84,55.101212
2016.11.07,Aichi,68,84,64.601418
2016.11.08,Aichi,67,84,63.651394
2016.11.09,Aichi,59,84,56.051228
2016.11.10,Aichi,80,84,76.001663
2016.11.11,Aichi,82,84,77.901711
2016.11.12,Aichi,67,84,63.651394
2016.11.13,Aichi,56,71,61.447277
2016.11.14,Aichi,55,71,60.350002
2016.11.15,Aichi,57,71,62.544552
2016.11.16,Aichi,59,71,64.73909
2016.11.17,Aichi,39,71,42.793636
2016.11.18,Aichi,53,71,58.15546
2016.11.19,Aichi,33,71,36.209999
2016.11.20,Aichi,28,68,27.918489
2016.11.21,Aichi,37,68,36.892288
2016.11.22,Aichi,100,68,99.708893
2016.11.23,Aichi,50,68,49.854446
2016.11.24,Aichi,52,68,51.848625
2016.11.25,Aichi,38,68,37.889378
2016.11.26,Aichi,66,68,65.807869
2016.11.27,Aichi,51,62,48.048271
2016.11.28,Aichi,67,62,63.122238
2016.11.29,Aichi,42,62,39.569164
2016.11.30,Aichi,52,62,48.990395
2016.12.01,Aichi,59,62,55.585251
2016.12.02,Aichi,39,62,36.742794
2016.12.03,Aichi,48,62,45.221901
2016.12.04,Aichi,51,75,53.767445
2016.12.05,Aichi,55,75,57.984497
2016.12.06,Aichi,70,75,73.798454
2016.12.07,Aichi,64,75,67.47287
2016.12.08,Aichi,45,75,47.441864
2016.12.09,Aichi,58,75,61.147293
2016.12.10,Aichi,44,75,46.3876
2016.12.11,Aichi,55,65,60.397518
2016.12.12,Aichi,59,65,64.790062
2016.12.13,Aichi,27,65,29.649693
2016.12.14,Aichi,66,65,72.47702
2016.12.15,Aichi,42,65,46.121742
2016.12.16,Aichi,38,65,41.729195
2016.12.17,Aichi,35,65,38.434784
2016.12.18,Aichi,58,56,58.313931
2016.12.19,Aichi,44,56,44.238155
2016.12.20,Aichi,42,56,42.227329
2016.12.21,Aichi,38,56,38.205677
2016.12.22,Aichi,52,56,52.28146
2016.12.23,Aichi,28,56,28.151552
2016.12.24,Aichi,41,56,41.221916
2016.12.25,Aichi,60,55,55.067486
2016.12.26,Aichi,34,55,31.204905
2016.12.27,Aichi,50,55,45.889568
2016.12.28,Aichi,41,55,37.629448
2016.12.29,Aichi,33,55,30.287115
2016.12.30,Aichi,60,55,55.067486
2016.12.31,Aichi,48,55,44.053986
2017.01.01,Aichi,67,52,45.233795
2017.01.02,Aichi,40,52,27.005253
2017.01.03,Aichi,76,52,51.309975
2017.01.04,Aichi,73,52,49.284584
2017.01.05,Aichi,46,52,31.05604
2017.01.06,Aichi,66,52,44.558662
2017.01.07,Aichi,51,52,34.431694
2017.01.08,Aichi,71,73,58.255203
2017.01.09,Aichi,55,73,45.127274
