date,raw_daily,raw_weekly,symptoms_harmonized_daily
2019.06.11,33,40,32.781956
2019.06.12,37,40,36.755527
2019.06.13,32,40,31.788563
2019.06.14,31,40,30.795172
2019.06.15,32,40,31.788563
2019.06.16,35,43,35.974781
2019.06.17,38,43,39.058334
2019.06.18,35,43,35.974781
2019.06.19,35,43,35.974781
2019.06.20,37,43,38.030483
2019.06.21,28,43,28.779827
2019.06.22,32,43,32.891228
2019.06.23,32,40,32.928959
2019.06.24,33,40,33.957985
2019.06.25,36,40,37.045078
2019.06.26,33,40,33.957985
2019.06.27,31,40,31.899929
2019.06.28,31,40,31.899929
2019.06.29,27,40,27.783808
2019.06.30,34,39,34.421051
2019.07.01,31,39,31.3839
2019.07.02,32,39,32.396286
2019.07.03,28,39,28.346748
2019.07.04,33,39,33.408669
2019.07.05,32,39,32.396286
2019.07.06,31,39,31.3839
2019.07.07,59,40,33.265224
2019.07.08,60,40,33.829044
2019.07.09,59,40,33.265224
2019.07.10,62,40,34.956676
2019.07.11,56,40,31.573774
2019.07.12,54,40,30.446138
2019.07.13,57,40,32.137592
2019.07.14,52,40,30.057007
2019.07.15,55,40,31.791065
2019.07.16,67,40,38.727295
2019.07.17,60,40,34.68116
2019.07.18,58,40,33.52512
2019.07.19,49,40,28.322947
2019.07.20,56,40,32.369083
2019.07.21,52,40,29.683165
2019.07.22,53,40,30.253994
2019.07.23,58,40,33.108143
2019.07.24,65,40,37.103954
2019.07.25,59,40,33.678974
2019.07.26,55,40,31.395653
2019.07.27,60,40,34.249805
2019.07.28,60,39,33.476833
2019.07.29,62,39,34.592728
2019.07.30,61,39,34.034782
2019.07.31,58,39,32.360939
2019.08.01,54,39,30.12915
2019.08.02,52,39,29.013256
2019.08.03,54,39,30.12915
2019.08.04,62,38,36.139042
2019.08.05,53,38,30.893051
2019.08.06,54,38,31.475937
2019.08.07,55,38,32.058826
2019.08.08,50,38,29.144388
2019.08.09,48,38,27.978611
2019.08.10,52,38,30.310162
2019.08.11,55,38,31.552631
2019.08.12,56,38,32.126316
2019.08.13,56,38,32.126316
2019.08.14,58,38,33.273682
2019.08.15,52,38,29.831577
2019.08.16,48,38,27.53684
2019.08.17,55,38,31.552631
2019.08.18,57,35,32.887928
2019.08.19,51,35,29.426043
2019.08.20,49,35,28.272079
2019.08.21,49,35,28.272079
2019.08.22,52,35,30.003021
2019.08.23,49,35,28.272079
2019.08.24,41,35,23.656229
2019.08.25,45,34,25.441648
2019.08.26,49,34,27.703127
2019.08.27,57,34,32.226086
2019.08.28,47,34,26.57239
2019.08.29,47,34,26.57239
2019.08.30,46,34,26.007017
2019.08.31,54,34,30.529978
2019.09.01,56,39,32.459229
2019.09.02,54,39,31.299971
2019.09.03,55,39,31.879602
2019.09.04,53,39,30.720343
2019.09.05,58,39,33.618488
2019.09.06,58,39,33.618488
2019.09.07,52,39,30.140715
2019.09.08,59,38,33.321243
2019.09.09,54,38,30.497408
2019.09.10,52,38,29.367876
2019.09.11,54,38,30.497408
2019.09.12,52,38,29.367876
2019.09.13,58,38,32.756474
2019.09.14,57,38,32.191711
2019.09.15,58,45,34.263519
2019.09.16,68,45,40.171024
2019.09.17,60,45,35.445019
2019.09.18,60,45,35.445019
2019.09.19,62,45,36.626522
2019.09.20,64,45,37.808022
2019.09.21,65,45,38.398773
2019.09.22,60,46,35.107944
2019.09.23,69,46,40.374138
2019.09.24,62,46,36.278214
2019.09.25,67,46,39.203873
2019.09.26,67,46,39.203873
2019.09.27,63,46,36.863342
2019.09.28,63,46,36.863342
2019.09.29,62,43,36.157024
2019.09.30,56,43,32.657959
2019.10.01,60,43,34.990669
2019.10.02,67,43,39.072914
2019.10.03,66,43,38.489738
2019.10.04,54,43,31.491602
2019.10.05,58,43,33.824314
2019.10.06,72,45,40.85136
2019.10.07,74,45,41.986118
2019.10.08,70,45,39.716602
2019.10.09,72,45,40.85136
2019.10.10,69,45,39.149223
2019.10.11,54,45,30.638521
2019.10.12,44,45,24.964722
2019.10.13,57,52,33.472443
2019.10.14,76,52,44.629925
2019.10.15,80,52,46.978867
2019.10.16,85,52,49.915047
2019.10.17,77,52,45.217159
2019.10.18,67,52,39.344799
2019.10.19,66,52,38.757565
2019.10.20,72,54,42.324181
2019.10.21,69,54,40.560673
2019.10.22,77,54,45.263359
2019.10.23,82,54,48.202538
2019.10.24,76,54,44.675526
2019.10.25,69,54,40.560673
2019.10.26,82,54,48.202538
2019.10.27,80,59,46.525589
2019.10.28,78,59,45.36245
2019.10.29,89,59,51.75972
2019.10.30,84,59,48.851871
2019.10.31,87,59,50.596581
2019.11.01,73,59,42.454601
2019.11.02,91,59,52.922859
2019.11.03,80,64,46.40226
2019.11.04,100,64,58.002827
2019.11.05,96,64,55.682716
2019.11.06,93,64,53.942627
2019.11.07,90,64,52.202545
2019.11.08,87,64,50.46246
2019.11.09,87,64,50.46246
2019.11.10,100,59,57.46582
2019.11.11,97,59,55.741848
2019.11.12,77,59,44.24868
2019.11.13,83,59,47.696632
2019.11.14,80,59,45.972656
2019.11.15,77,59,44.24868
2019.11.16,75,59,43.099365
2019.11.17,81,56,47.485977
2019.11.18,89,56,52.175953
2019.11.19,83,56,48.65847
2019.11.20,77,56,45.140991
2019.11.21,73,56,42.796005
2019.11.22,78,56,45.727238
2019.11.23,67,56,39.278522
2019.11.24,69,52,39.891064
2019.11.25,73,52,42.20359
2019.11.26,72,52,41.625458
2019.11.27,74,52,42.781719
2019.11.28,70,52,40.469196
2019.11.29,81,52,46.82864
2019.11.30,77,52,44.516117
2019.12.01,82,54,48.111244
2019.12.02,71,54,41.657295
2019.12.03,70,54,41.070576
2019.12.04,78,54,45.764355
2019.12.05,81,54,47.524521
2019.12.06,76,54,44.590908
2019.12.07,70,54,41.070576
2019.12.08,81,51,46.468426
2019.12.09,85,51,48.763161
2019.12.10,76,51,43.600002
2019.12.11,72,51,41.305264
2019.12.12,62,51,35.56842
2019.12.13,72,51,41.305264
2019.12.14,62,51,35.56842
2019.12.15,79,53,47.098351
2019.12.16,76,53,45.309807
2019.12.17,71,53,42.328896
2019.12.18,72,53,42.925079
2019.12.19,73,53,43.521259
2019.12.20,68,53,40.540356
2019.12.21,71,53,42.328896
2019.12.22,66,51,38.77552
2019.12.23,71,51,41.713062
2019.12.24,72,51,42.300568
2019.12.25,74,51,43.475586
2019.12.26,70,51,41.125553
2019.12.27,76,51,44.6506
2019.12.28,69,51,40.538044
2019.12.29,70,50,40.238373
2019.12.30,71,50,40.81321
2019.12.31,60,50,34.490036
2020.01.01,68,50,39.088707
2020.01.02,80,50,45.986713
2020.01.03,74,50,42.537708
2020.01.04,76,50,43.687378
2020.01.05,69,53,52.05864
2020.01.06,56,53,42.250488
2020.01.07,62,53,46.777328
2020.01.08,61,53,46.022854
2020.01.09,55,53,41.496017
2020.01.10,53,53,39.987068
2020.01.11,47,53,35.460232
2020.01.12,47,45,36.327606
2020.01.13,54,45,41.738102
2020.01.14,51,45,39.419319
2020.01.15,45,45,34.78175
2020.01.16,49,45,37.873463
2020.01.17,48,45,37.100533
2020.01.18,40,45,30.91711
2020.01.19,55,50,41.516621
2020.01.20,58,50,43.781162
2020.01.21,55,50,41.516621
2020.01.22,56,50,42.271469
2020.01.23,49,50,36.987537
2020.01.24,56,50,42.271469
2020.01.25,51,50,38.497231
2020.01.26,53,53,40.900482
2020.01.27,54,53,41.672188
2020.01.28,58,53,44.759018
2020.01.29,61,53,47.074139
2020.01.30,57,53,43.987312
2020.01.31,59,53,45.530727
2020.02.01,52,53,40.128777
2020.02.02,65,59,49.888412
2020.02.03,64,59,49.120899
2020.02.04,58,59,44.515812
2020.02.05,57,59,43.748299
2020.02.06,66,59,50.655926
2020.02.07,69,59,52.958469
2020.02.08,62,59,47.585869
2020.02.09,64,62,48.433594
2020.02.10,64,62,48.433594
2020.02.11,76,62,57.514889
2020.02.12,66,62,49.947144
2020.02.13,63,62,47.676819
2020.02.14,63,62,47.676819
2020.02.15,74,62,56.001339
2020.02.16,66,69,49.857979
2020.02.17,77,69,58.167641
2020.02.18,82,69,61.944763
2020.02.19,82,69,61.944763
2020.02.20,70,69,52.879673
2020.02.21,71,69,53.635101
2020.02.22,76,69,57.412216
2020.02.23,98,84,73.33181
2020.02.24,100,84,74.828377
2020.02.25,94,84,70.338676
2020.02.26,95,84,71.08696
2020.02.27,89,84,66.59726
2020.02.28,86,84,64.352409
2020.02.29,82,84,61.359268
2020.03.01,86,77,62.896305
2020.03.02,96,77,70.209831
2020.03.03,95,77,69.478477
2020.03.04,90,77,65.821716
2020.03.05,78,77,57.045483
2020.03.06,83,77,60.702248
2020.03.07,76,77,55.582779
2020.03.08,72,60,53.41198
2020.03.09,72,60,53.41198
2020.03.10,69,60,51.186481
2020.03.11,63,60,46.735477
2020.03.12,64,60,47.477314
2020.03.13,63,60,46.735477
2020.03.14,61,60,45.251812
2020.03.15,57,48,43.600002
2020.03.16,52,48,39.775436
2020.03.17,56,48,42.835087
2020.03.18,53,48,40.540352
2020.03.19,50,48,38.245617
2020.03.20,45,48,34.421051
2020.03.21,47,48,35.950878
2020.03.22,52,45,39.023869
2020.03.23,49,45,36.772491
2020.03.24,41,45,30.76882
2020.03.25,52,45,39.023869
2020.03.26,49,45,36.772491
2020.03.27,51,45,38.273407
2020.03.28,50,45,37.522953
2020.03.29,50,53,38.390484
2020.03.30,58,53,44.532959
2020.03.31,60,53,46.068581
2020.04.01,53,53,40.693909
2020.04.02,55,53,42.229534
2020.04.03,56,53,42.997341
2020.04.04,64,53,49.13982
2020.04.05,67,58,49.321613
2020.04.06,68,58,50.057758
2020.04.07,65,58,47.849327
2020.04.08,59,58,43.432468
2020.04.09,66,58,48.585468
2020.04.10,63,58,46.377041
2020.04.11,64,58,47.113182
2020.04.12,74,54,55.6418
2020.04.13,57,54,42.859222
2020.04.14,52,54,39.09964
2020.04.15,64,54,48.122635
2020.04.16,56,54,42.107307
2020.04.17,56,54,42.107307
2020.04.18,53,54,39.851559
2020.04.19,47,47,36.415756
2020.04.20,47,47,36.415756
2020.04.21,42,47,32.54174
2020.04.22,55,47,42.614185
2020.04.23,54,47,41.839382
2020.04.24,52,47,40.289776
2020.04.25,51,47,39.514973
2020.04.26,57,41,43.529221
2020.04.27,43,41,32.837833
2020.04.28,46,41,35.128845
2020.04.29,44,41,33.601505
2020.04.30,42,41,32.074162
2020.05.01,36,41,27.49214
2020.05.02,40,41,30.546822
2020.05.03,39,42,30.509569
2020.05.04,34,42,26.598085
2020.05.05,40,42,31.291864
2020.05.06,42,42,32.856457
2020.05.07,47,42,36.767941
2020.05.08,58,42,45.373207
2020.05.09,48,42,37.55024
2020.05.10,42,42,31.923628
2020.05.11,38,42,28.883284
2020.05.12,41,42,31.163542
2020.05.13,48,42,36.484142
2020.05.14,56,42,42.564835
2020.05.15,52,42,39.52449
2020.05.16,40,42,30.403456
2020.05.17,39,33,29.068174
2020.05.18,32,33,23.850809
2020.05.19,35,33,26.086823
